#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1       2.496       2.496           0
           2       2.084        2.29    0.145664
           3       1.308     1.96267    0.284362
           4        3.12       2.252    0.329044
           5        1.63      2.1276    0.285785
           6       2.278     2.15267    0.239251
           7       1.218     2.01914     0.23945
           8       2.304     2.05475     0.21215
           9       0.692     1.90333    0.236519
          10       0.682      1.7812    0.242357
          11       2.102     1.81036    0.222073
          12       0.748     1.72183    0.220508
          13        0.87     1.65631    0.213059
          14       2.114       1.689    0.200333
          15        1.17      1.6544    0.189942
          16        2.51     1.70788    0.185446
          17       0.828     1.65612    0.181616
          18       0.538       1.594    0.181839
          19       1.228     1.57474    0.173286
          20      -0.564      1.4678    0.194844
          21       0.166     1.40581    0.195178
          22        1.47     1.40873    0.186328
          23       0.744     1.37983    0.180454
          24       1.344     1.37833    0.172941
          25       0.982     1.36248    0.166749
          26       0.618     1.33385    0.162775
          27       3.378     1.40956    0.173462
          28       1.134     1.39971    0.167546
          29       1.452     1.40152    0.161778
          30       3.686     1.47767    0.173384
          31       1.544     1.47981    0.167804
          32       1.664     1.48556    0.162659
          33       0.946     1.46921    0.158549
          34       1.678     1.47535    0.154005
          35        1.87     1.48663    0.150017
          36       4.086     1.55883    0.162299
          37      -0.626     1.49978    0.168312
          38       2.096     1.51547    0.164612
          39       1.854     1.52415     0.16062
          40       3.692     1.57835    0.165496
          41       4.108     1.64005    0.172577
          42       1.872     1.64557    0.168557
          43       1.518      1.6426    0.164663
          44       1.348     1.63591    0.161057
          45        2.08     1.64578     0.15778
          46       1.886       1.651    0.154436
          47       -0.02     1.61545    0.155189
          48       1.444     1.61187    0.151997
          49       1.914     1.61804     0.14902
          50       1.504     1.61576    0.146057
          51       1.074     1.60514    0.143579
          52       0.442     1.58277    0.142549
          53       1.656     1.58415    0.139866
          54       3.286     1.61567    0.140782
          55       1.826     1.61949    0.138274
          56      -0.734     1.57746    0.142048
          57       0.016     1.55007    0.142173
          58      -0.356     1.51721     0.14347
          59       1.014     1.50868    0.141292
          60       1.026     1.50063    0.139166
          61      -0.062     1.47502    0.139222
          62       0.742     1.46319    0.137477
          63        2.31     1.47663    0.135951
          64       0.422     1.46016    0.134822
          65       1.376     1.45886    0.132754
          66        -0.6     1.42767    0.134357
          67        1.22     1.42457    0.132388
          68       0.934     1.41735    0.130637
          69       1.956     1.42516    0.128977
          70       0.572     1.41297    0.127709
          71       1.634     1.41608    0.125948
          72        1.36     1.41531    0.124201
          73       0.772     1.40649    0.122812
          74       3.326     1.43243    0.123862
          75        1.88      1.4384    0.122354
          76       2.132     1.44753    0.121084
          77       0.008     1.42883    0.120946
          78       3.188     1.45138     0.12148
          79       2.108      1.4597    0.120226
          80       1.356      1.4584     0.11873
          81       0.282     1.44388     0.11815
          82        0.71     1.43493    0.117047
          83        3.12     1.45523    0.117384
          84        0.61     1.44517    0.116418
          85       1.386     1.44447     0.11505
          86       0.058     1.42835    0.114836
          87      -0.366     1.40772    0.115353
          88        2.91      1.4248    0.115299
          89       1.892     1.43004    0.114123
          90       0.882     1.42396    0.113017
          91       -0.78     1.39974    0.114341
          92       1.462     1.40041      0.1131
          93       0.744     1.39335    0.112104
          94       3.032     1.41079    0.112259
          95       1.368     1.41034    0.111078
          96       1.156     1.40769    0.109952
          97       1.972     1.41351    0.108973
          98      -0.314     1.39588    0.109277
          99       1.228     1.39418    0.108186
         100        0.83     1.38854    0.107252
