#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     10.7489     10.7489           0
           2      9.5254     10.1372     0.43258
           3     10.0564     10.1102    0.289223
           4     10.4353     10.1915    0.228048
           5     10.6649     10.2862    0.201135
           6     10.8811     10.3853    0.190494
           7     10.2181     10.3615    0.164772
           8     10.1039     10.3293    0.147286
           9     10.2939     10.3253    0.130974
          10     9.81542     10.2743    0.127416
          11     10.2336     10.2706    0.115887
          12     10.2384      10.268    0.106261
          13     10.0119     10.2483    0.099895
          14     9.94694     10.2267     0.09505
          15     9.47106     10.1764    0.101187
          16     10.2789     10.1828    0.095066
          17     9.49457     10.1423   0.0977139
          18     10.4257      10.158   0.0935456
          19     10.3006     10.1655   0.0889225
          20      10.494      10.182   0.0859793
          21     10.1318     10.1796   0.0819181
          22     10.1105     10.1764   0.0782547
          23     9.31584      10.139    0.083319
          24     9.24078     10.1016   0.0878521
          25     9.74462     10.0873   0.0854906
          26     10.9275     10.1196   0.0880981
          27     10.1037      10.119   0.0848372
          28     10.4847     10.1321   0.0828064
          29     10.3596     10.1399   0.0803217
          30     9.95087     10.1336   0.0778912
          31     10.4339     10.1433   0.0759785
          32     9.90056     10.1357   0.0739819
          33     9.74772      10.124   0.0726684
          34     9.69453     10.1114   0.0716204
          35     10.7982      10.131   0.0722125
          36     9.62812      10.117   0.0715448
          37     8.99219     10.0866   0.0757953
          38     10.5319     10.0983   0.0747009
          39     10.3857     10.1057   0.0731479
          40     10.0276     10.1037   0.0713452
          41      10.463     10.1125    0.070141
          42     9.08479      10.088   0.0726138
          43     10.1788     10.0901   0.0709558
          44     10.4082     10.0974   0.0697103
          45     9.92654     10.0936   0.0682645
          46     10.0787     10.0933   0.0667812
          47     9.42801     10.0791   0.0668435
          48     10.4257     10.0863   0.0658397
          49     11.0656     10.1063   0.0674609
          50     9.52179     10.0946    0.067117
          51     9.35587     10.0801   0.0673459
          52     11.4378     10.1062   0.0709314
          53     11.0413     10.1239   0.0717539
          54     9.28367     10.1083   0.0720923
          55     9.13065     10.0905   0.0729401
          56      9.4516     10.0791   0.0725245
          57     9.83824     10.0749   0.0713752
          58     8.92689     10.0551   0.0728374
          59     8.81165      10.034   0.0745897
          60     9.69855     10.0284   0.0735559
          61     10.4351     10.0351   0.0726515
          62     9.41239     10.0251   0.0721707
          63     9.78736     10.0213   0.0711237
          64      9.8035     10.0179   0.0700937
          65     9.74259     10.0137   0.0691432
          66     9.69857     10.0089   0.0682602
          67     9.42675     10.0002   0.0677921
          68     9.20103     9.98844   0.0678062
          69     9.12632     9.97595   0.0679649
          70     9.20068     9.96487   0.0678904
          71     9.62294     9.96006   0.0671048
          72     10.1417     9.96258   0.0662202
          73     10.0527     9.96382   0.0653246
          74     9.62724     9.95927      0.0646
          75     9.58161     9.95423   0.0639346
          76     10.1397     9.95667   0.0631399
          77     10.2659     9.96069   0.0624474
          78     9.18471     9.95074   0.0624342
          79     10.7785     9.96122    0.062517
          80     9.95335     9.96112   0.0617356
          81     9.64874     9.95726   0.0610938
          82     10.0356     9.95822   0.0603562
          83     9.54066     9.95319   0.0598383
          84     9.49108     9.94769   0.0593783
          85     9.45258     9.94186   0.0589648
          86     9.58506     9.93771   0.0584249
          87     9.22033     9.92947   0.0583323
          88     9.97779     9.93002    0.057672
          89     9.54653     9.92571   0.0571848
          90     9.80622     9.92438   0.0565648
          91     9.51116     9.91984   0.0561252
          92     10.3018     9.92399   0.0556684
          93     10.1336     9.92624   0.0551155
          94     10.0987     9.92808   0.0545596
          95      10.057     9.92944   0.0540022
          96     9.50806     9.92505   0.0536178
          97     10.0142     9.92597   0.0530729
          98     8.87743     9.91527    0.053599
          99     9.07922     9.90682   0.0537187
         100     9.64002     9.90415   0.0532478
