#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      74.856      74.856           0
           2      73.764       74.31     0.38608
           3      60.168      69.596     3.85756
           4      78.976      71.941     3.53479
           5      61.726      69.898     3.36685
           6      71.502     70.1653      2.8163
           7      67.686     69.8111     2.43614
           8        64.1     69.0973     2.23378
           9      63.948     68.5251     2.05755
          10      76.446     69.3172     1.99845
          11      74.778     69.8136     1.87742
          12      57.308     68.7715     1.98929
          13      64.586     68.4495     1.86214
          14      77.122      69.069     1.82927
          15      63.234       68.68     1.74819
          16      70.562     68.7976     1.64288
          17      67.572     68.7255     1.54782
          18      72.234     68.9204     1.47405
          19      68.824     68.9154     1.39648
          20      77.316     69.3354     1.38839
          21      60.098     68.8955     1.39021
          22      62.466     68.6033     1.35739
          23      66.312     68.5037     1.30202
          24      64.812     68.3498     1.25682
          25      69.934     68.4132     1.20815
          26      58.642     68.0374     1.21873
          27      83.774     68.6202     1.30554
          28      63.458     68.4359     1.27187
          29      73.896     68.6241     1.24187
          30      73.958     68.8019     1.21313
          31      61.712     68.5732     1.19536
          32      74.988     68.7737      1.1747
          33       60.25     68.5154     1.16715
          34      62.934     68.3512     1.14431
          35      71.682     68.4464     1.11556
          36      67.038     68.4073     1.08526
          37      61.066     68.2089     1.07392
          38        67.4     68.1876     1.04587
          39      73.038     68.3119     1.02642
          40      74.836      68.475     1.01363
          41      75.092     68.6364     1.00168
          42      72.396      68.726    0.981817
          43      70.906     68.7767    0.960292
          44      65.756      68.708    0.940918
          45      62.708     68.5747    0.929408
          46       62.85     68.4502    0.917498
          47      67.656     68.4333    0.898132
          48       74.14     68.5522    0.887255
          49      67.934     68.5396    0.869237
          50      77.568     68.7202    0.870405
          51       77.05     68.8835    0.868528
          52      58.026     68.6747    0.876564
          53      72.728     68.7512    0.863355
          54      73.678     68.8424    0.852174
          55      70.426     68.8712    0.837166
          56      58.666      68.689    0.841818
          57      66.092     68.6434    0.828281
          58       64.92     68.5792    0.816484
          59      62.198     68.4711    0.809778
          60      64.126     68.3986    0.799513
          61      72.706     68.4692    0.789518
          62       57.67     68.2951    0.795766
          63      69.526     68.3146    0.783374
          64      64.702     68.2582    0.773165
          65      71.224     68.3038    0.762615
          66      70.152     68.3318    0.751575
          67      70.508     68.3643    0.741059
          68      73.778     68.4439    0.734425
          69      73.172     68.5124    0.726971
          70      60.816     68.4025    0.724852
          71       61.73     68.3085    0.720709
          72       68.44     68.3103    0.710702
          73      58.644     68.1779    0.713195
          74      68.178     68.1779    0.703557
          75      74.392     68.2607    0.699038
          76      62.132     68.1801    0.694476
          77       61.24       68.09    0.691281
          78       65.22     68.0532    0.683397
          79      71.728     68.0997    0.676328
          80      67.652     68.0941    0.667897
          81      69.414     68.1104     0.65985
          82      67.222     68.0996    0.651892
          83      63.676     68.0463    0.646213
          84      67.142     68.0355    0.638609
          85      66.418     68.0165     0.63138
          86       60.37     67.9276    0.630267
          87      52.966     67.7556    0.646059
          88      68.586      67.765    0.638786
          89        72.2     67.8149    0.633549
          90      68.782     67.8256    0.626601
          91      66.172     67.8074    0.619979
          92      75.558     67.8917    0.618937
          93      77.116     67.9909    0.620179
          94      66.416     67.9741    0.613807
          95      66.952     67.9633     0.60744
          96      69.584     67.9802    0.601347
          97      60.352     67.9016    0.600268
          98      64.106     67.8629    0.595391
          99      61.192     67.7955    0.593178
         100      74.522     67.8627    0.591048
