# DISTANCE:     AVE_GOFR:        ERROR:
   0.0115332           0           0
   0.0345996           0           0
   0.0576661           0           0
   0.0807325           0           0
    0.103799           0           0
    0.126865           0           0
    0.149932           0           0
    0.172998           0           0
    0.196065           0           0
    0.219131           0           0
    0.242198           0           0
    0.265264           0           0
     0.28833           0           0
    0.311397           0           0
    0.334463           0           0
     0.35753           0           0
    0.380596           0           0
    0.403663           0           0
    0.426729           0           0
    0.449795           0           0
    0.472862           0           0
    0.495928           0           0
    0.518995           0           0
    0.542061           0           0
    0.565128           0           0
    0.588194           0           0
     0.61126           0           0
    0.634327           0           0
    0.657393           0           0
     0.68046           0           0
    0.703526           0           0
    0.726593           0           0
    0.749659           0           0
    0.772725           0           0
    0.795792           0           0
    0.818858           0           0
    0.841925           0           0
    0.864991           0           0
    0.888058  0.00397659  0.00326037
    0.911124    0.185742   0.0146821
     0.93419     2.46338   0.0810976
    0.957257     15.5956    0.230314
    0.980323     53.9572     0.52672
     1.00339     120.979    0.528011
     1.02646      195.25    0.459542
     1.04952     250.242    0.664848
     1.07259     264.813    0.715225
     1.09566     242.854    0.769274
     1.11872     198.342    0.661479
     1.14179     145.986    0.425628
     1.16485      97.843    0.243857
     1.18792      60.762    0.219317
     1.21099     35.0106    0.229849
     1.23405     18.7266    0.190124
     1.25712     9.56695    0.183837
     1.28019     4.76845    0.128304
     1.30325     2.51308   0.0971241
     1.32632     2.22022    0.102516
     1.34939     3.13448    0.107226
     1.37245     5.42649    0.125761
     1.39552     9.60098      0.1327
     1.41859     16.0994    0.190457
     1.44165      24.457    0.160253
     1.46472     34.0402    0.127181
     1.48778     43.2821    0.213408
     1.51085     49.7753    0.307695
     1.53392      53.061    0.409421
     1.55698     50.3066    0.292362
     1.58005     44.2449    0.181871
     1.60312     34.7952    0.137318
     1.62618      25.042    0.163502
     1.64925     16.8806    0.154298
     1.67232     11.5446    0.182887
     1.69538     9.98599    0.210374
     1.71845     13.4519    0.227883
     1.74152      23.007    0.282835
     1.76458     40.2923    0.294213
     1.78765     64.4143    0.303347
     1.81071     93.4257    0.181906
     1.83378     121.216    0.286087
     1.85685     141.079    0.508155
     1.87991     146.924    0.539518
     1.90298     138.502     0.54302
     1.92605     117.723      0.3565
     1.94911     91.5474    0.214964
     1.97218     64.5939    0.251635
     1.99525     43.0315    0.248207
     2.01831      28.947    0.298949
     2.04138     23.0523    0.286404
     2.06445     24.6428    0.249768
     2.08751     31.5468    0.177317
     2.11058     41.0563    0.144488
     2.13364       49.67    0.156907
     2.15671     54.9767    0.159919
     2.17978     55.1407    0.165179
     2.20284     49.7722    0.176681
     2.22591     42.0607    0.105194
     2.24898     35.0201    0.185488
     2.27204     30.5296    0.216765
     2.29511     30.4722     0.29901
