# DISTANCE:     AVE_GOFR:        ERROR:
   0.0115332           0           0
   0.0345996           0           0
   0.0576661           0           0
   0.0807325           0           0
    0.103799           0           0
    0.126865           0           0
    0.149932           0           0
    0.172998           0           0
    0.196065           0           0
    0.219131           0           0
    0.242198           0           0
    0.265264           0           0
     0.28833           0           0
    0.311397           0           0
    0.334463           0           0
     0.35753           0           0
    0.380596           0           0
    0.403663           0           0
    0.426729           0           0
    0.449795           0           0
    0.472862           0           0
    0.495928           0           0
    0.518995           0           0
    0.542061           0           0
    0.565128           0           0
    0.588194           0           0
     0.61126           0           0
    0.634327           0           0
    0.657393           0           0
     0.68046           0           0
    0.703526           0           0
    0.726593           0           0
    0.749659           0           0
    0.772725           0           0
    0.795792           0           0
    0.818858           0           0
    0.841925           0           0
    0.864991 8.38297e-05 8.38289e-05
    0.888058  0.00294267 0.000483594
    0.911124    0.174232  0.00363584
     0.93419     2.53985   0.0136332
    0.957257     15.8908   0.0334099
    0.980323     54.4368   0.0588927
     1.00339      120.97   0.0810211
     1.02646     195.561   0.0956817
     1.04952     249.409    0.107284
     1.07259      264.15    0.113993
     1.09566     242.477    0.109673
     1.11872     197.828   0.0955621
     1.14179     145.833   0.0780003
     1.16485     98.1365   0.0617571
     1.18792     61.0495   0.0491055
     1.21099     35.2556   0.0384361
     1.23405     19.0471    0.028775
     1.25712     9.64904   0.0207598
     1.28019     4.80249   0.0147949
     1.30325     2.62889   0.0108479
     1.32632     2.26555   0.0096554
     1.34939     3.24755   0.0112116
     1.37245     5.71652   0.0141275
     1.39552     9.94826   0.0179993
     1.41859     16.2359    0.021718
     1.44165     24.4072   0.0253587
     1.46472     33.9247   0.0289696
     1.48778     43.1288   0.0328703
     1.51085     49.9427   0.0358188
     1.53392     52.4139    0.036642
     1.55698     50.0644   0.0353164
     1.58005     43.5949   0.0311553
     1.60312     34.5307   0.0265939
     1.62618     25.1529   0.0227261
     1.64925     17.1052   0.0194128
     1.67232     11.8539   0.0176694
     1.69538     10.3256   0.0177755
     1.71845     13.7556   0.0209376
     1.74152     23.3617   0.0260747
     1.76458     40.4042   0.0310879
     1.78765     64.6298   0.0349958
     1.81071     93.2922   0.0390242
     1.83378     120.859   0.0452403
     1.85685     140.346   0.0526727
     1.87991     146.691   0.0566462
     1.90298     138.171   0.0528046
     1.92605     117.786    0.044442
     1.94911     91.2191   0.0360299
     1.97218     64.8273   0.0306843
     1.99525     43.2834   0.0282385
     2.01831     29.1917    0.025983
     2.04138     23.3893   0.0240015
     2.06445     24.9008   0.0224324
     2.08751     31.6643   0.0215262
     2.11058     40.8554   0.0219422
     2.13364     49.5063   0.0243501
     2.15671      54.814     0.02658
     2.17978     55.2885   0.0273489
     2.20284      49.732   0.0247834
     2.22591     42.2318   0.0214573
     2.24898     35.3244   0.0202712
     2.27204     30.8709   0.0217102
     2.29511     30.9622    0.023558
