# DISTANCE:     AVE_GOFR:        ERROR:
   0.0323165           0           0
   0.0969496           0           0
    0.161583           0           0
    0.226216           0           0
    0.290849           0           0
    0.355482           0           0
    0.420115           0           0
    0.484748           0           0
    0.549381           0           0
    0.614014           0           0
    0.678647           0           0
     0.74328           0           0
    0.807913           0           0
    0.872546   0.0528038  0.00920663
    0.937179     7.95354    0.100066
     1.00181     56.6882    0.322084
     1.06645     110.102    0.539117
     1.13108     121.592    0.511912
     1.19571     112.844    0.408542
     1.26034     98.5694    0.424267
     1.32498     87.4116    0.320128
     1.38961     78.9149    0.264735
     1.45424     72.2272    0.310927
     1.51888     67.2845     0.21411
     1.58351     64.3873    0.197903
     1.64814     61.8159    0.185953
     1.71278      59.733    0.192027
     1.77741     58.8224    0.173523
     1.84204     57.8452    0.162258
     1.90667     57.3258      0.1841
     1.97131     57.1137    0.154459
     2.03594     56.8726    0.151861
     2.10057     57.1546    0.145411
     2.16521     56.9237    0.140004
     2.22984     56.6964    0.142257
     2.29447     56.1918    0.138192
     2.35911     55.8096    0.133507
     2.42374     55.7272    0.114963
     2.48837     55.4465    0.114112
     2.55301     55.3314    0.125886
     2.61764     54.8243    0.122735
     2.68227     54.9162    0.103587
      2.7469     54.5445    0.113003
     2.81154     54.4875    0.117033
     2.87617     54.3466    0.101394
      2.9408     54.1626    0.120583
     3.00544     53.9439    0.104279
     3.07007     53.8948   0.0999173
      3.1347     53.8323    0.089644
     3.19934     53.8988   0.0897349
     3.26397     53.7919   0.0911006
      3.3286     53.6961   0.0895938
     3.39323     53.6442   0.0903374
     3.45787     53.6259   0.0839194
      3.5225     53.6889   0.0850475
     3.58713     53.6532   0.0887956
     3.65177     53.6095   0.0809582
      3.7164     53.6764   0.0699465
     3.78103     53.3655   0.0767904
     3.84567     53.5092   0.0720597
      3.9103     53.4709   0.0720226
     3.97493     53.5854   0.0771347
     4.03957     53.3987   0.0697517
      4.1042     53.3587   0.0734552
     4.16883     53.3504   0.0697464
     4.23346     53.2925   0.0684751
      4.2981     53.3343   0.0638215
     4.36273     53.2796   0.0646005
     4.42736     53.2819   0.0660437
       4.492     53.3488   0.0642327
     4.55663     53.2699   0.0636181
     4.62126     53.3665   0.0611256
      4.6859     53.2966   0.0633716
     4.75053     53.3091   0.0589599
     4.81516     53.2984   0.0557171
     4.87979     53.2893   0.0634454
     4.94443     53.3388   0.0572231
     5.00906     53.2706   0.0512351
     5.07369     53.2709   0.0580208
     5.13833      53.267     0.05349
     5.20296     53.2646   0.0503112
     5.26759     53.3047   0.0518095
     5.33223     53.1882    0.048359
     5.39686     53.2782   0.0542002
     5.46149      53.227   0.0532149
     5.52612     53.2429   0.0518033
     5.59076     53.2985   0.0552862
     5.65539      53.263   0.0490141
     5.72002     53.1925   0.0519814
     5.78466     53.3306   0.0563447
     5.84929     53.2189   0.0523996
     5.91392     53.2468   0.0516069
     5.97856     53.2598   0.0548066
     6.04319     53.3118   0.0435627
     6.10782     53.2243   0.0406707
     6.17246     53.1849   0.0478916
     6.23709     53.2204    0.045569
     6.30172     53.2003   0.0447064
     6.36635     53.1018   0.0411783
     6.43099      53.193    0.041935
