# DISTANCE:     AVE_GOFR:        ERROR:
   0.0323165           0           0
   0.0969496           0           0
    0.161583           0           0
    0.226216           0           0
    0.290849           0           0
    0.355482           0           0
    0.420115           0           0
    0.484748           0           0
    0.549381           0           0
    0.614014           0           0
    0.678647           0           0
     0.74328           0           0
    0.807913           0           0
    0.872546   0.0398723   0.0396724
    0.937179     8.98674    0.684021
     1.00181     54.8225     2.09325
     1.06645     102.206     3.13379
     1.13108     110.849     2.95807
     1.19571     105.486     2.88736
     1.26034     92.5312     2.40406
     1.32498     85.9442     2.41195
     1.38961     77.7028     1.94887
     1.45424     68.0754     1.65186
     1.51888     62.2892     1.41471
     1.58351     58.0478     1.40234
     1.64814     54.5641     1.26159
     1.71278     53.4534     1.30508
     1.77741     53.3743     1.33386
     1.84204     55.1217     1.08526
     1.90667     54.6893     1.20595
     1.97131     53.5359     1.21147
     2.03594     55.2867     1.09981
     2.10057     56.4519     1.13692
     2.16521     54.6409    0.895963
     2.22984     53.6989    0.983212
     2.29447     54.4008    0.992904
     2.35911     54.3783     1.09665
     2.42374     56.1587     1.06863
     2.48837      54.135    0.930869
     2.55301     53.1701    0.916215
     2.61764     54.6124    0.857755
     2.68227     55.4336    0.806698
      2.7469     53.9671    0.849594
     2.81154     53.7574    0.807584
     2.87617     54.6322    0.717671
      2.9408     54.0095    0.739177
     3.00544     53.6935    0.815476
     3.07007     54.1676    0.922876
      3.1347      53.788    0.677244
     3.19934     54.0655    0.756024
     3.26397     54.4583    0.769345
      3.3286     53.5317    0.639013
     3.39323     53.6754    0.632094
     3.45787      52.764     0.64002
      3.5225     54.0285    0.670822
     3.58713     53.8512    0.626139
     3.65177     53.4153    0.653706
      3.7164     54.1706     0.58071
     3.78103     53.4036    0.583901
     3.84567     53.9733    0.618652
      3.9103     53.8214    0.651257
     3.97493     53.7715    0.631154
     4.03957     53.8286    0.643511
      4.1042     54.0754    0.632865
     4.16883     52.2661    0.585974
     4.23346     52.1869    0.601671
      4.2981     51.9718    0.486305
     4.36273      53.167    0.495554
     4.42736       52.34    0.525549
       4.492     52.7268    0.484337
     4.55663     53.4234    0.466903
     4.62126     52.9761     0.51848
      4.6859     53.1144    0.496398
     4.75053     53.3885    0.401106
     4.81516      53.255    0.481758
     4.87979     53.0798    0.520159
     4.94443     52.4695    0.480673
     5.00906     52.3211    0.498664
     5.07369     52.3596    0.504273
     5.13833     53.0012    0.479714
     5.20296     53.0942    0.497904
     5.26759     54.0477    0.409505
     5.33223     53.5493    0.433506
     5.39686     54.0928    0.429479
     5.46149     53.0215    0.386567
     5.52612     52.7006    0.425765
     5.59076     53.8191    0.431906
     5.65539     52.9844    0.415405
     5.72002     53.0816    0.411425
     5.78466     54.0229    0.416033
     5.84929     53.5778    0.413044
     5.91392     53.2777    0.460757
     5.97856     52.8645    0.378973
     6.04319      53.012    0.382753
     6.10782     52.9866    0.371116
     6.17246     52.8288    0.375423
     6.23709     52.2659    0.386107
     6.30172     53.1097    0.403571
     6.36635     53.2362    0.375577
     6.43099     52.9434     0.35586
