# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 0.000525212 0.000387931
    0.884913   0.0628914  0.00487274
    0.910562     1.27122   0.0248577
    0.936212     8.91789   0.0690197
    0.961861     30.4097    0.156596
    0.987511     64.9432    0.244207
     1.01316     100.546    0.249587
     1.03881      126.13    0.246444
     1.06446     137.764    0.231544
     1.09011     137.411    0.204784
     1.11576     129.977    0.210651
     1.14141     119.026    0.204932
     1.16706     106.846    0.188776
     1.19271     94.9511    0.209152
     1.21836     84.2697     0.17988
     1.24401     74.9805    0.179149
     1.26966     67.3073    0.160535
     1.29531     60.8954    0.144518
     1.32096     55.2996    0.129513
     1.34661     50.7689    0.121187
     1.37226     47.2239    0.117856
     1.39791     44.2056    0.107498
     1.42355     41.8624    0.090915
      1.4492     39.7986   0.0928293
     1.47485     38.4597   0.0947647
      1.5005     37.2261   0.0894036
     1.52615     36.4922   0.0997775
      1.5518     36.2042   0.0973763
     1.57745     36.1103   0.0969841
      1.6031     36.3873    0.103627
     1.62875     36.9217    0.109356
      1.6544     37.8549   0.0943614
     1.68005     38.9798   0.0985148
      1.7057     40.5047    0.101029
     1.73135     42.0896   0.0945361
       1.757     44.0296   0.0899183
     1.78265      45.951   0.0944456
      1.8083     48.2429    0.102625
     1.83395     50.5587    0.105013
      1.8596     52.7617   0.0998094
     1.88525     54.9496   0.0980976
      1.9109     57.1494     0.10559
     1.93655     59.0726   0.0976749
      1.9622     60.9422   0.0932918
     1.98785     62.6616   0.0958547
      2.0135      63.846   0.0955982
     2.03915      65.083    0.102355
      2.0648     65.5711   0.0947372
     2.09045     65.7344   0.0958579
      2.1161     65.4924     0.09522
     2.14174      64.596   0.0969586
     2.16739     63.6097   0.0843971
     2.19304     62.2606   0.0870729
     2.21869     60.8683   0.0956653
     2.24434     59.2693   0.0934735
     2.26999     57.6445   0.0903334
     2.29564     56.0728   0.0940184
     2.32129     54.6569   0.0903095
     2.34694     53.3758   0.0928694
     2.37259     52.2295   0.0748861
     2.39824     51.0872   0.0808744
     2.42389     50.2067   0.0747693
     2.44954     49.5911   0.0788031
     2.47519     49.1251   0.0648487
     2.50084      48.338   0.0748062
     2.52649      47.734   0.0780823
     2.55214     47.8206    0.073901
