# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913   0.0815443   0.0167068
    0.910562     1.37801    0.090398
    0.936212     9.29691    0.217085
    0.961861     31.8598    0.388056
    0.987511     66.1427    0.553605
     1.01316     100.787    0.723173
     1.03881     124.864     0.87565
     1.06446     137.987    0.809031
     1.09011     138.654    0.781782
     1.11576     130.594     0.78115
     1.14141     119.062      0.8194
     1.16706     105.808    0.817421
     1.19271     93.6839    0.764536
     1.21836     83.5414    0.669203
     1.24401     74.3192    0.599546
     1.26966     66.8402    0.612381
     1.29531     59.7401    0.520685
     1.32096     54.2615    0.524066
     1.34661     50.3639    0.471538
     1.37226     46.8295    0.437881
     1.39791     43.8653     0.42678
     1.42355     41.6734    0.406474
      1.4492     40.0132    0.418346
     1.47485     38.2228    0.380052
      1.5005     37.0543    0.377771
     1.52615     36.9996    0.391664
      1.5518     36.2022     0.33628
     1.57745     36.5688    0.371919
      1.6031     36.7536    0.332981
     1.62875     37.2508    0.327944
      1.6544     38.1809    0.309361
     1.68005     39.3735    0.303191
      1.7057     40.2008    0.299289
     1.73135     42.1535    0.386084
       1.757      44.167    0.390852
     1.78265     46.1263    0.338539
      1.8083     48.8021    0.342534
     1.83395      51.013    0.353943
      1.8596     53.3071    0.354337
     1.88525     55.2391    0.340111
      1.9109     57.8379    0.350947
     1.93655     59.7832    0.385915
      1.9622     60.9066    0.375547
     1.98785     63.4167    0.343329
      2.0135     64.3221    0.366619
     2.03915     65.1713    0.333874
      2.0648     65.9508    0.382592
     2.09045     65.9033     0.35322
      2.1161     65.4426    0.363356
     2.14174     64.3819    0.335871
     2.16739     62.5611    0.313812
     2.19304     61.2132     0.30744
     2.21869     59.8576     0.32462
     2.24434     58.3209    0.358197
     2.26999     57.0232    0.324295
     2.29564     55.6701    0.301872
     2.32129     54.0644     0.27394
     2.34694     52.8357    0.269429
     2.37259     51.9587    0.243311
     2.39824     50.4133    0.283573
     2.42389     49.6165    0.265007
     2.44954     48.7024    0.269078
     2.47519     48.3059    0.279012
     2.50084     47.8026     0.24061
     2.52649     48.1662    0.265827
     2.55214     48.2402    0.232715
