# DISTANCE:     AVE_GOFR:        ERROR:
   0.0115332           0           0
   0.0345996           0           0
   0.0576661           0           0
   0.0807325           0           0
    0.103799           0           0
    0.126865           0           0
    0.149932           0           0
    0.172998           0           0
    0.196065           0           0
    0.219131           0           0
    0.242198           0           0
    0.265264           0           0
     0.28833           0           0
    0.311397           0           0
    0.334463           0           0
     0.35753           0           0
    0.380596           0           0
    0.403663           0           0
    0.426729           0           0
    0.449795           0           0
    0.472862           0           0
    0.495928           0           0
    0.518995           0           0
    0.542061           0           0
    0.565128           0           0
    0.588194           0           0
     0.61126           0           0
    0.634327           0           0
    0.657393           0           0
     0.68046           0           0
    0.703526           0           0
    0.726593           0           0
    0.749659           0           0
    0.772725           0           0
    0.795792           0           0
    0.818858           0           0
    0.841925           0           0
    0.864991           0           0
    0.888058  0.00318127   0.0012166
    0.911124    0.172897  0.00710757
     0.93419     2.56688   0.0366689
    0.957257     15.8639    0.089325
    0.980323     54.4991    0.213933
     1.00339      120.93    0.259635
     1.02646     195.559    0.212191
     1.04952     249.464    0.247061
     1.07259     264.365    0.325227
     1.09566     242.428     0.35414
     1.11872     197.864    0.325142
     1.14179     145.689    0.222319
     1.16485     97.9934    0.113395
     1.18792     61.1227    0.131296
     1.21099     35.3137    0.130137
     1.23405     18.9698     0.10029
     1.25712     9.64315   0.0893199
     1.28019     4.77464   0.0640885
     1.30325     2.62184   0.0493697
     1.32632     2.27804   0.0471077
     1.34939     3.24357   0.0538013
     1.37245     5.64427   0.0578497
     1.39552     9.87502   0.0681104
     1.41859     16.2468   0.0706462
     1.44165     24.5069   0.0633737
     1.46472     33.9707   0.0615248
     1.48778     42.9195   0.0963868
     1.51085     49.7323    0.132867
     1.53392     52.5105    0.159372
     1.55698     50.2534    0.136963
     1.58005     43.8327    0.105377
     1.60312      34.767   0.0622723
     1.62618     25.1498   0.0609591
     1.64925     17.0255   0.0667287
     1.67232     11.7438   0.0884176
     1.69538     10.1997     0.10263
     1.71845     13.6631    0.118421
     1.74152     23.4182    0.137933
     1.76458     40.5119    0.139171
     1.78765     64.6213    0.118154
     1.81071     93.3079   0.0865667
     1.83378     120.879    0.138791
     1.85685     140.287    0.223786
     1.87991      146.65     0.28218
     1.90298     138.116    0.250222
     1.92605     117.844    0.170251
     1.94911     91.3245    0.100673
     1.97218     64.7903   0.0944635
     1.99525     43.2734    0.134483
     2.01831     29.2235    0.142638
     2.04138     23.3356    0.140715
     2.06445     24.8616    0.120632
     2.08751     31.6051   0.0876058
     2.11058     40.9711   0.0552347
     2.13364     49.5287   0.0660343
     2.15671     54.8035   0.0925112
     2.17978     55.2412    0.101161
     2.20284     49.6079   0.0840492
     2.22591     42.1555   0.0479502
     2.24898      35.253   0.0755208
     2.27204     30.8695     0.12274
     2.29511     30.8649    0.145408
