# DISTANCE:     AVE_GOFR:        ERROR:
   0.0115332           0           0
   0.0345996           0           0
   0.0576661           0           0
   0.0807325           0           0
    0.103799           0           0
    0.126865           0           0
    0.149932           0           0
    0.172998           0           0
    0.196065           0           0
    0.219131           0           0
    0.242198           0           0
    0.265264           0           0
     0.28833           0           0
    0.311397           0           0
    0.334463           0           0
     0.35753           0           0
    0.380596           0           0
    0.403663           0           0
    0.426729           0           0
    0.449795           0           0
    0.472862           0           0
    0.495928           0           0
    0.518995           0           0
    0.542061           0           0
    0.565128           0           0
    0.588194           0           0
     0.61126           0           0
    0.634327           0           0
    0.657393           0           0
     0.68046           0           0
    0.703526           0           0
    0.726593           0           0
    0.749659           0           0
    0.772725           0           0
    0.795792           0           0
    0.818858           0           0
    0.841925           0           0
    0.864991           0           0
    0.888058  0.00941126  0.00535584
    0.911124    0.224653   0.0308017
     0.93419      3.2899    0.101402
    0.957257     18.7591    0.211498
    0.980323     59.2483    0.479185
     1.00339     126.518    0.676706
     1.02646     196.621    0.828578
     1.04952     244.483    0.885482
     1.07259     256.115    0.961144
     1.09566     235.632    0.928876
     1.11872     193.337    0.883481
     1.14179     144.342    0.675169
     1.16485      99.369    0.486355
     1.18792     62.8603    0.471273
     1.21099     37.1533    0.337011
     1.23405     21.5079    0.297351
     1.25712     10.8995    0.213353
     1.28019     5.86458     0.17395
     1.30325     3.44975    0.148912
     1.32632     2.86697    0.129467
     1.34939     4.01325     0.14447
     1.37245     6.77641    0.177078
     1.39552      11.276    0.188041
     1.41859      17.143    0.220542
     1.44165      25.164    0.260051
     1.46472     33.6353    0.219473
     1.48778     42.0028    0.300227
     1.51085     47.3624     0.36726
     1.53392      49.946    0.383034
     1.55698      48.001    0.390444
     1.58005     42.6655    0.267837
     1.60312     34.4987    0.279784
     1.62618     26.0511    0.220181
     1.64925     18.0665    0.202411
     1.67232     13.2648    0.202482
     1.69538     12.1463    0.225107
     1.71845     16.1524    0.259265
     1.74152     26.2062    0.306004
     1.76458     42.9037    0.311891
     1.78765     66.1783    0.330223
     1.81071     93.4075    0.318241
     1.83378     117.679    0.449238
     1.85685     136.538    0.548323
     1.87991     141.538    0.599479
     1.90298     133.598    0.527196
     1.92605     115.927    0.433541
     1.94911     90.8596    0.369681
     1.97218      66.374    0.304232
     1.99525     45.7507     0.32624
     2.01831     31.5877     0.26808
     2.04138     25.6952    0.286218
     2.06445     26.8071    0.279897
     2.08751     32.7834    0.218426
     2.11058     40.8665     0.20707
     2.13364      48.464    0.201687
     2.15671     53.1513     0.24836
     2.17978     53.1414    0.258275
     2.20284     49.1187    0.260882
     2.22591      43.195    0.183376
     2.24898     36.7788    0.249574
     2.27204     32.6624     0.30241
     2.29511     33.1156    0.308761
