#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1       1.822       1.822           0
           2      1.8311     1.82655  0.00321882
           3     1.83822     1.83044  0.00383359
           4     1.82515     1.82912  0.00309479
           5       1.861      1.8355   0.0062165
           6     1.86026     1.83962  0.00640576
           7     1.86017     1.84256  0.00612636
           8     1.86464     1.84532  0.00595001
           9     1.85519     1.84642    0.005389
          10     1.83897     1.84567  0.00490134
          11     1.84056     1.84521  0.00447775
          12     1.85006     1.84561  0.00412283
          13     1.84783     1.84578  0.00380922
          14     1.85485     1.84643  0.00359176
          15     1.81183     1.84412   0.0040253
          16      1.8048     1.84167  0.00446126
          17     1.79486     1.83891  0.00497643
          18     1.81181     1.83741  0.00492246
          19     1.80505      1.8357  0.00494925
          20     1.80899     1.83437  0.00487874
          21     1.82015     1.83369  0.00469316
          22     1.81258     1.83273  0.00457689
          23     1.81802     1.83209  0.00442232
          24     1.78647     1.83019  0.00462863
          25     1.78333     1.82832  0.00480802
          26     1.77559     1.82629  0.00503266
          27     1.79627     1.82518  0.00496756
          28     1.80245     1.82436  0.00485599
          29     1.82182     1.82428  0.00468934
          30     1.78705     1.82304  0.00469432
          31      1.7909       1.822  0.00465598
          32     1.78922     1.82097  0.00462182
          33     1.78943     1.82002  0.00457957
          34      1.7887      1.8191  0.00453654
          35     1.81634     1.81902  0.00440761
          36     1.83717     1.81952   0.0043139
          37     1.86028     1.82062  0.00433566
          38      1.8494     1.82138  0.00428717
          39      1.8476     1.82205  0.00422961
          40     1.85308     1.82283  0.00419437
          41     1.81502     1.82264  0.00409639
          42     1.80285     1.82217  0.00402586
          43     1.79987     1.82165  0.00396549
          44     1.81438     1.82148   0.0038788
          45     1.83444     1.82177  0.00380327
          46     1.85801     1.82256  0.00380132
          47     1.87746     1.82373   0.0038958
          48     1.88122     1.82493  0.00399452
          49     1.90279     1.82651  0.00421726
          50     1.90598      1.8281  0.00442223
          51     1.91047     1.82972  0.00462104
          52     1.88699     1.83082  0.00466157
          53     1.89043     1.83195  0.00470734
          54     1.85123      1.8323  0.00463369
          55     1.86658     1.83293  0.00459116
          56     1.86781     1.83355  0.00455123
          57     1.87011     1.83419  0.00451635
          58     1.89532     1.83524   0.0045598
          59     1.85334     1.83555  0.00449282
          60     1.84017     1.83563   0.0044186
          61     1.80227     1.83508  0.00437986
          62     1.80235     1.83455  0.00434093
          63     1.81078     1.83418   0.0042884
          64      1.8382     1.83424  0.00422185
          65     1.85035     1.83449  0.00416417
          66        1.85     1.83472  0.00410771
          67     1.86766     1.83521  0.00407572
          68     1.87028     1.83573  0.00404828
          69      1.8915     1.83654   0.0040695
          70      1.8976     1.83741  0.00410379
          71     1.92855     1.83869  0.00424201
          72     1.89042     1.83941   0.0042435
          73     1.90204     1.84027   0.0042712
          74     1.88949     1.84093  0.00426496
          75     1.88584     1.84153   0.0042499
          76     1.85465     1.84171  0.00419749
          77      1.8611     1.84196  0.00415052
          78     1.85413     1.84211  0.00410024
          79     1.85796     1.84231  0.00405325
          80     1.83355      1.8422  0.00400406
          81     1.86277     1.84246  0.00396267
          82     1.86843     1.84278  0.00392698
          83     1.88413     1.84327  0.00391115
          84     1.88942     1.84382  0.00390298
          85     1.90579     1.84455  0.00392455
          86     1.91418     1.84536  0.00396155
          87      1.9123     1.84613  0.00399003
          88      1.9155     1.84692  0.00402181
          89     1.90583     1.84758  0.00403072
          90     1.87382     1.84787  0.00399646
          91      1.8539     1.84794  0.00395309
          92     1.85891     1.84806  0.00391192
          93     1.87254     1.84832  0.00387871
          94     1.90014     1.84887  0.00387641
          95     1.90862      1.8495   0.0038863
          96     1.89638     1.84999  0.00387638
          97     1.91623     1.85067   0.0038961
          98     1.89863     1.85116  0.00388695
          99     1.88952     1.85155  0.00386695
         100     1.89081     1.85194  0.00384816
