#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -7.5735     -7.5735           0
           2    -7.52406    -7.54878   0.0174786
           3    -7.57609    -7.55788   0.0138214
           4    -7.58147    -7.56378   0.0115562
           5    -7.53916    -7.55886   0.0102401
           6    -7.55453    -7.55814  0.00855871
           7    -7.53512    -7.55485  0.00794243
           8    -7.54514    -7.55363  0.00704167
           9    -7.54187    -7.55233  0.00637939
          10    -7.58468    -7.55556  0.00651049
          11    -7.56173    -7.55612  0.00594274
          12    -7.53523    -7.55438  0.00569696
          13    -7.53061    -7.55255  0.00554444
          14    -7.54304    -7.55187  0.00518991
          15    -7.55845    -7.55231   0.0048624
          16     -7.5751    -7.55374  0.00476247
          17    -7.50767    -7.55103  0.00519622
          18    -7.51511    -7.54903  0.00527683
          19    -7.55876    -7.54954   0.0050239
          20    -7.58389    -7.55126  0.00505773
