#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.412435   -0.412435           0
           2   -0.425706    -0.41907  0.00469203
           3   -0.403878   -0.414006  0.00518465
           4   -0.426636   -0.417164   0.0047537
           5    -0.40723   -0.415177  0.00419762
           6   -0.420513   -0.416066  0.00359097
           7   -0.424488   -0.417269  0.00327333
           8   -0.419062   -0.417493  0.00287182
           9   -0.416255   -0.417356  0.00255602
          10   -0.409391   -0.416559  0.00242134
          11      -0.417   -0.416599  0.00220155
          12    -0.41945   -0.416837  0.00203086
          13   -0.411866   -0.416455   0.0019103
          14   -0.409623   -0.415967  0.00183512
          15   -0.414488   -0.415868  0.00171542
          16    -0.40511   -0.415196  0.00173497
          17   -0.412216    -0.41502  0.00164175
          18   -0.423207   -0.415475  0.00161231
          19   -0.406136   -0.414984  0.00160062
          20   -0.407533   -0.414611  0.00156335
          21   -0.409239   -0.414355  0.00150969
          22   -0.414736   -0.414373  0.00144117
          23   -0.411715   -0.414257  0.00138313
          24   -0.414986   -0.414287  0.00132583
          25   -0.406299   -0.413968  0.00131074
          26   -0.416514   -0.414066  0.00126398
          27   -0.415361   -0.414114  0.00121807
          28   -0.403087    -0.41372  0.00123659
          29   -0.407519   -0.413506   0.0012123
          30   -0.413796   -0.413516  0.00117193
          31   -0.412415    -0.41348  0.00113466
          32   -0.419234    -0.41366  0.00111336
          33   -0.408446   -0.413502  0.00109077
          34   -0.424461   -0.413824  0.00110529
          35   -0.418311   -0.413953  0.00108112
          36   -0.418698   -0.414084  0.00105909
          37    -0.41555   -0.414124  0.00103121
          38   -0.414514   -0.414134  0.00100412
          39   -0.413749   -0.414124 0.000978424
          40   -0.430722   -0.414539  0.00103823
          41   -0.416533   -0.414588  0.00101405
          42   -0.405902   -0.414381  0.00101077
          43   -0.410444    -0.41429 0.000991403
          44   -0.413596   -0.414274 0.000968997
          45   -0.425295   -0.414519 0.000977923
          46   -0.409798   -0.414416 0.000962034
          47    -0.41079   -0.414339 0.000944654
          48   -0.412222   -0.414295 0.000926002
          49    -0.40539   -0.414113 0.000924765
          50    -0.42579   -0.414347 0.000935291
          51   -0.411454    -0.41429  0.00091867
          52   -0.414289    -0.41429 0.000901004
          53   -0.405832    -0.41413 0.000898025
          54   -0.413127   -0.414112 0.000881587
          55   -0.412757   -0.414087 0.000865902
          56   -0.401176   -0.413857 0.000880601
          57   -0.408064   -0.413755 0.000870995
          58    -0.40651    -0.41363 0.000864889
          59    -0.41716    -0.41369 0.000852297
          60   -0.410467   -0.413636 0.000839783
          61   -0.412278   -0.413614 0.000826311
          62   -0.415811   -0.413649 0.000813743
          63   -0.404484   -0.413504 0.000813726
          64   -0.398902   -0.413276 0.000832381
          65   -0.417328   -0.413338 0.000821906
          66   -0.416374   -0.413384 0.000810739
          67   -0.413822   -0.413391 0.000798665
          68    -0.41794   -0.413457 0.000789717
          69   -0.416076   -0.413495 0.000779183
          70   -0.419609   -0.413583 0.000772931
          71   -0.414858   -0.413601 0.000762253
          72   -0.412665   -0.413588 0.000751777
          73   -0.411431   -0.413558 0.000742059
          74   -0.413094   -0.413552 0.000732058
          75    -0.41587   -0.413583  0.00072295
          76     -0.4129   -0.413574 0.000713493
          77   -0.410438   -0.413533 0.000705388
          78    -0.42285   -0.413653 0.000706385
          79    -0.42208   -0.413759 0.000705452
          80    -0.40446   -0.413643 0.000706145
          81   -0.417492   -0.413691 0.000699024
          82    -0.41953   -0.413762 0.000694117
          83   -0.418252   -0.413816 0.000687859
          84   -0.416458   -0.413847 0.000680388
          85   -0.404827   -0.413741  0.00068061
          86   -0.413092   -0.413734 0.000672738
          87   -0.417329   -0.413775 0.000666273
          88   -0.408545   -0.413715 0.000661347
          89   -0.416098   -0.413742 0.000654458
          90   -0.419518   -0.413806 0.000650325
          91   -0.412388   -0.413791 0.000643366
          92   -0.409352   -0.413743 0.000638179
          93   -0.408949   -0.413691 0.000633395
          94   -0.419262    -0.41375 0.000629423
          95   -0.411145   -0.413723 0.000623395
          96   -0.411744   -0.413702 0.000617242
          97   -0.410096   -0.413665 0.000611997
          98    -0.41446   -0.413673 0.000605806
          99   -0.419243   -0.413729 0.000602294
         100    -0.41742   -0.413766 0.000597401
