#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.407272   -0.407272           0
           2   -0.404645   -0.405959 0.000928716
           3   -0.346247   -0.386055   0.0162634
           4   -0.392802   -0.387741   0.0122847
           5   -0.399988   -0.390191    0.010069
           6   -0.392227    -0.39053  0.00839655
           7    -0.37337   -0.388079  0.00754644
           8   -0.442481   -0.394879  0.00916866
           9   -0.463463   -0.402499   0.0108646
          10    -0.39073   -0.401323   0.0098417
          11   -0.453136   -0.406033   0.0100109
          12   -0.418471   -0.407069  0.00923019
          13   -0.458438   -0.411021  0.00932772
          14   -0.436745   -0.412858  0.00884058
          15   -0.436624   -0.414443  0.00839198
          16   -0.437706   -0.415897  0.00799244
          17   -0.418225   -0.416034  0.00752347
          18   -0.491168   -0.420208  0.00818191
          19   -0.432656   -0.420863  0.00777747
          20   -0.505739   -0.425107  0.00846763
          21   -0.527034    -0.42996  0.00935259
          22   -0.476026   -0.432054  0.00915887
          23   -0.377334   -0.429675   0.0090644
          24   -0.400107   -0.428443  0.00877004
          25   -0.368172   -0.426032  0.00874433
          26   -0.404331   -0.425198  0.00844775
          27   -0.413979   -0.424782  0.00814508
          28   -0.361704   -0.422529  0.00815978
          29   -0.390056    -0.42141  0.00795487
          30   -0.458478   -0.422645  0.00778508
          31   -0.429044   -0.422852  0.00753668
          32   -0.462172    -0.42408  0.00740065
          33   -0.347504    -0.42176  0.00753141
          34   -0.383526   -0.420635  0.00739337
          35   -0.437639   -0.421121  0.00719808
          36   -0.395276   -0.420403  0.00703384
          37   -0.470375   -0.421754   0.0069722
          38   -0.488463   -0.423509  0.00700624
          39   -0.423088   -0.423499   0.0068266
          40   -0.449255   -0.424142  0.00668624
          41   -0.427791   -0.424231  0.00652375
          42   -0.519524     -0.4265  0.00675145
          43   -0.443663   -0.426899  0.00660623
          44   -0.433314   -0.427045  0.00645769
          45   -0.433951   -0.427199  0.00631601
          46   -0.374571   -0.426055  0.00628147
          47   -0.409382     -0.4257  0.00615783
          48   -0.405878   -0.425287  0.00604337
          49   -0.415847   -0.425094  0.00592311
          50   -0.411831   -0.424829  0.00581058
          51   -0.391381   -0.424173  0.00573355
          52   -0.436164   -0.424404  0.00562792
          53   -0.436961   -0.424641  0.00552672
          54   -0.496703   -0.425975  0.00558316
          55   -0.427297   -0.425999   0.0054817
          56   -0.447184   -0.426378  0.00539685
          57   -0.475196   -0.427234   0.0053697
          58   -0.396796   -0.426709   0.0053027
          59   -0.353456   -0.425468   0.0053562
          60   -0.363017   -0.424427  0.00536711
          61   -0.353062   -0.423257  0.00540513
          62   -0.422056   -0.423238  0.00531798
          63   -0.432349   -0.423382  0.00523554
          64   -0.449866   -0.423796  0.00517006
          65   -0.395871   -0.423366  0.00510834
          66   -0.369691   -0.422553  0.00509527
          67   -0.386102   -0.422009  0.00504818
          68   -0.400792   -0.421697  0.00498358
          69   -0.430268   -0.421821   0.0049129
          70   -0.422242   -0.421827  0.00484272
          71   -0.483669   -0.422698  0.00485221
          72   -0.475562   -0.423432  0.00484005
          73    -0.44715   -0.423757  0.00478464
          74   -0.390898   -0.423313  0.00474054
          75   -0.380295    -0.42274  0.00471191
          76   -0.423418   -0.422749  0.00464992
          77   -0.429998   -0.422843  0.00459048
          78   -0.424302   -0.422862  0.00453167
          79   -0.387822   -0.422418  0.00449596
          80   -0.345591   -0.421458  0.00454116
          81   -0.411797   -0.421338  0.00448667
          82   -0.396877    -0.42104  0.00444186
          83   -0.378767   -0.420531  0.00441744
          84    -0.39116   -0.420181  0.00437867
          85   -0.450991   -0.420544  0.00434213
          86   -0.408943   -0.420409  0.00429374
          87   -0.343802   -0.419528  0.00433373
          88   -0.413928   -0.419464  0.00428495
          89    -0.40277   -0.419277  0.00424091
          90   -0.437366   -0.419478  0.00419855
          91   -0.423896   -0.419526  0.00415269
          92   -0.423621   -0.419571  0.00410779
          93   -0.489008   -0.420318  0.00413092
          94   -0.401512   -0.420118  0.00409182
          95   -0.430653   -0.420228  0.00405025
          96   -0.356445   -0.419564  0.00406219
          97   -0.402949   -0.419393  0.00402392
          98   -0.425311   -0.419453  0.00398331
          99   -0.415349   -0.419412  0.00394329
         100   -0.405225    -0.41927  0.00390641
         101   -0.374055   -0.418822   0.0038933
         102   -0.379274   -0.418434  0.00387439
         103   -0.387343   -0.418133  0.00384851
         104   -0.406077   -0.418017  0.00381325
         105   -0.413137    -0.41797  0.00377722
         106   -0.462704   -0.418392  0.00376509
         107   -0.427422   -0.418477  0.00373084
         108   -0.517276   -0.419391   0.0038068
         109   -0.514959   -0.420268  0.00387153
         110   -0.495254    -0.42095  0.00389589
         111   -0.541472   -0.422036  0.00400924
         112   -0.454333   -0.422324   0.0039838
         113   -0.375705   -0.421911  0.00396985
         114   -0.366787   -0.421428  0.00396437
         115   -0.407498   -0.421307  0.00393174
         116   -0.485601   -0.421861  0.00393672
         117   -0.513482   -0.422644   0.0039802
         118   -0.330516   -0.421863  0.00402231
         119    -0.45022   -0.422102  0.00399556
         120   -0.453556   -0.422364  0.00397086
         121   -0.482782   -0.422863  0.00396931
         122   -0.450594    -0.42309  0.00394328
         123   -0.432687   -0.423168  0.00391199
         124   -0.465045   -0.423506  0.00389499
         125   -0.391253   -0.423248  0.00387237
         126     -0.4351   -0.423342  0.00384278
         127   -0.428798   -0.423385  0.00381276
         128   -0.381336   -0.423057   0.0037971
         129   -0.366957   -0.422622  0.00379248
         130   -0.333584   -0.421937  0.00382466
         131   -0.334261   -0.421268  0.00385358
         132   -0.404624   -0.421141  0.00382644
         133    -0.41495   -0.421095  0.00379796
         134   -0.386998    -0.42084  0.00377813
         135   -0.369927   -0.420463  0.00376892
         136   -0.299316   -0.419573  0.00384503
         137   -0.412599   -0.419522   0.0038173
         138    -0.45239    -0.41976  0.00379707
         139   -0.449946   -0.419977  0.00377595
         140   -0.395173     -0.4198  0.00375314
         141   -0.405469   -0.419698   0.0037279
         142   -0.412368   -0.419647    0.003702
         143   -0.420738   -0.419654  0.00367612
         144   -0.377464   -0.419361  0.00366225
         145   -0.405393   -0.419265  0.00363826
         146   -0.438773   -0.419398  0.00361579
         147   -0.427954   -0.419457  0.00359166
         148   -0.456143   -0.419705  0.00357594
         149   -0.388899   -0.419498  0.00355791
         150   -0.393751   -0.419326  0.00353833
         151   -0.401845    -0.41921  0.00351679
         152   -0.359821    -0.41882  0.00351529
         153   -0.370121   -0.418501  0.00350669
         154   -0.340223   -0.417993  0.00352057
         155   -0.380191   -0.417749  0.00350629
         156   -0.433715   -0.417852  0.00348531
         157   -0.422534   -0.417881  0.00346324
         158   -0.433087   -0.417978  0.00344266
         159   -0.429403   -0.418049  0.00342176
         160   -0.357227   -0.417669  0.00342142
         161   -0.365789   -0.417347  0.00341531
         162    -0.35656   -0.416972  0.00341478
         163     -0.3696   -0.416681  0.00340617
         164   -0.412323   -0.416655  0.00338551
         165    -0.45214    -0.41687  0.00337181
         166   -0.469001   -0.417184  0.00336609
         167    -0.47922   -0.417555  0.00336637
         168   -0.423801   -0.417592  0.00334654
         169   -0.414374   -0.417573  0.00332679
         170   -0.419606   -0.417585  0.00330725
         171   -0.421044   -0.417606  0.00328797
         172   -0.435589    -0.41771  0.00327051
         173   -0.390012    -0.41755  0.00325552
         174   -0.377917   -0.417322  0.00324477
         175   -0.400779   -0.417228  0.00322761
         176    -0.37792   -0.417004  0.00321699
         177    -0.38566   -0.416827  0.00320368
         178   -0.397512   -0.416719  0.00318752
         179   -0.382164   -0.416526  0.00317555
         180   -0.420526   -0.416548  0.00315799
         181   -0.423761   -0.416588  0.00314079
         182    -0.41634   -0.416586  0.00312354
         183   -0.364244     -0.4163  0.00311954
         184   -0.463303   -0.416556  0.00311302
         185   -0.412455   -0.416534  0.00309628
         186    -0.38562   -0.416367  0.00308409
         187   -0.387501   -0.416213  0.00307145
         188   -0.366324   -0.415948  0.00306656
         189   -0.356283   -0.415632  0.00306654
         190    -0.43219   -0.415719  0.00305164
         191   -0.376559   -0.415514  0.00304254
         192   -0.302799   -0.414927  0.00308281
         193   -0.389112   -0.414793  0.00306974
         194   -0.361475   -0.414519  0.00306619
         195   -0.398705   -0.414437  0.00305154
         196   -0.428479   -0.414509  0.00303681
         197   -0.420546    -0.41454  0.00302155
         198   -0.423904   -0.414587  0.00300666
