#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1 3.45788e+08 3.45788e+08           0
           2 2.34629e+07 1.84625e+08 1.13959e+08
           3 6.56025e+08 3.41759e+08 1.49105e+08
           4 2.21209e+11 5.55586e+10 4.78193e+10
           5 9.14207e+06 4.44487e+10  3.9525e+10
           6 1.79996e+07 3.70436e+10  3.3624e+10
           7 2.64908e+06  3.1752e+10  2.9234e+10
           8 5.82871e+10 3.50689e+10 2.57672e+10
           9 5.70979e+09 3.18068e+10 2.31098e+10
          10 1.03168e+15 1.03196e+14 9.78706e+13
          11 4.72267e+12 9.42443e+13 8.93817e+13
          12      633409 8.63906e+13 8.22776e+13
          13 1.21212e+07 7.97452e+13 7.62164e+13
          14 2.53234e+10 7.40509e+13 7.09848e+13
          15 1.20011e+06 6.91142e+13 6.64239e+13
          16 4.63148e+09 6.47948e+13 6.24127e+13
          17 7.25659e+07 6.09834e+13 5.88576e+13
          18 5.58423e+07 5.75954e+13 5.56852e+13
          19 2.71525e+07 5.45641e+13 5.28368e+13
          20 4.33866e+09 5.18361e+13 5.02654e+13
          21 4.70097e+08 4.93677e+13 4.79323e+13
          22 2.19584e+13 4.81218e+13 4.57698e+13
          23 2.36712e+08 4.60296e+13 4.38276e+13
          24 3.40805e+12 4.42537e+13 4.20374e+13
          25 3.02297e+07 4.24835e+13 4.03932e+13
          26 7.81324e+06 4.08496e+13 3.88726e+13
          27 1.08137e+08 3.93366e+13 3.74623e+13
          28 3.52336e+07 3.79317e+13 3.61507e+13
          29 2.39323e+08 3.66238e+13 3.49278e+13
          30 1.47266e+09  3.5403e+13 3.37849e+13
          31 1.34091e+11 3.42653e+13 3.27142e+13
          32 3.29159e+12 3.32974e+13 3.17062e+13
          33  2.6613e+07 3.22884e+13 3.07614e+13
          34 3.26096e+07 3.13387e+13 2.98713e+13
          35 2.31528e+07 3.04433e+13 2.90313e+13
          36 2.04723e+10 2.95982e+13 2.82372e+13
          37 1.41756e+10 2.87987e+13 2.74853e+13
          38 8.77154e+07 2.80408e+13 2.67725e+13
          39 8.80794e+07 2.73218e+13 2.60956e+13
          40 1.22003e+10 2.66391e+13 2.54522e+13
          41 4.67075e+12 2.61033e+13  2.4837e+13
          42 1.08579e+08 2.54818e+13 2.42534e+13
          43 9.34393e+11 2.49109e+13 2.36961e+13
          44 8.52038e+11 2.43641e+13 2.31639e+13
          45 4.58865e+10 2.38237e+13 2.26554e+13
          46 1.17064e+08 2.33058e+13 2.21688e+13
          47 1.17226e+10 2.28102e+13 2.17027e+13
          48 1.91605e+07  2.2335e+13 2.12558e+13
          49 8.12523e+12  2.2045e+13  2.0824e+13
          50 1.32098e+06 2.16041e+13 2.04121e+13
          51 5.82628e+09 2.11806e+13 2.00163e+13
          52 9.88727e+07 2.07733e+13 1.96355e+13
          53 8.04834e+06 2.03813e+13 1.92689e+13
          54 3.84857e+09 2.00039e+13 1.89158e+13
          55 5.30587e+13 2.06049e+13 1.85814e+13
          56 2.21219e+10 2.02374e+13 1.82533e+13
          57 1.52184e+10 1.98826e+13 1.79365e+13
          58 4.63685e+09 1.95399e+13 1.76305e+13
          59 4.22331e+07 1.92087e+13 1.73348e+13
          60 1.15805e+06 1.88886e+13 1.70488e+13
          61 8.91746e+10 1.85804e+13 1.67721e+13
          62 2.47711e+09 1.82807e+13 1.65043e+13
          63  2.8089e+12 1.80352e+13 1.62441e+13
          64 7.51921e+06 1.77534e+13 1.59928e+13
          65 2.73373e+06 1.74802e+13 1.57491e+13
          66 1.52656e+09 1.72154e+13 1.55127e+13
          67 5.23683e+07 1.69585e+13 1.52833e+13
          68 4.58101e+08 1.67091e+13 1.50605e+13
          69 1.08016e+07 1.64669e+13 1.48442e+13
          70 9.59774e+10  1.6233e+13  1.4634e+13
          71 3.46852e+09 1.60045e+13 1.44297e+13
          72 1.48515e+12 1.58028e+13 1.42307e+13
          73 7.77532e+13 1.66514e+13  1.4061e+13
          74  7.0366e+09 1.64265e+13 1.38728e+13
          75  8.0189e+10 1.62086e+13 1.36895e+13
          76 3.66892e+07 1.59953e+13 1.35111e+13
