#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.249296   -0.249296           0
           2   -0.300411   -0.274853   0.0180718
           3   -0.362548   -0.304085   0.0267357
           4   -0.417399   -0.332413   0.0316852
           5   -0.354282   -0.336787   0.0256483
           6   -0.367677   -0.341935   0.0218842
           7   -0.313029   -0.337806   0.0191435
           8    -0.40574   -0.346298   0.0185386
           9   -0.373846   -0.349359   0.0167295
          10   -0.363373    -0.35076   0.0151151
          11   -0.352295     -0.3509   0.0137417
          12   -0.427496   -0.357283   0.0140007
          13   -0.397849   -0.360403    0.013267
          14   -0.421797   -0.364788   0.0130239
          15   -0.461056   -0.371206   0.0136456
          16    -0.37183   -0.371245   0.0127928
          17   -0.406766   -0.373335   0.0122097
          18   -0.384562   -0.373958   0.0115473
          19   -0.386994   -0.374645   0.0109599
          20    -0.43924   -0.377874   0.0108774
          21   -0.466426   -0.382091   0.0111469
          22   -0.431799   -0.384351   0.0108668
          23   -0.414435   -0.385659   0.0104727
          24   -0.494834   -0.390207     0.01098
          25   -0.499226   -0.394568   0.0113738
          26   -0.414013   -0.395316   0.0109609
          27   -0.386601   -0.394993   0.0105597
          28   -0.319111   -0.392283   0.0105246
          29   -0.400918   -0.392581   0.0101659
          30   -0.369463    -0.39181  0.00985617
          31   -0.395281   -0.391922  0.00953887
          32   -0.395012   -0.392019  0.00924127
          33   -0.381032   -0.391686  0.00896722
          34   -0.435269   -0.392968  0.00879462
          35   -0.444207   -0.394432  0.00866434
          36   -0.350746   -0.393218  0.00850822
          37   -0.412567   -0.393741  0.00829432
          38    -0.44108   -0.394987  0.00816907
          39   -0.379408   -0.394588  0.00796936
          40   -0.446691    -0.39589  0.00787586
          41   -0.462664   -0.397519  0.00785036
          42   -0.438822   -0.398502  0.00772479
          43    -0.44153   -0.399503  0.00760968
          44   -0.444432   -0.400524  0.00750493
          45   -0.451872   -0.401665  0.00742439
          46   -0.407654   -0.401795  0.00726413
          47   -0.443244   -0.402677  0.00716291
          48   -0.465058   -0.403977   0.0071306
          49   -0.466661   -0.405256  0.00709891
          50   -0.448207   -0.406115  0.00700871
          51   -0.438277   -0.406746   0.0068996
          52   -0.383981   -0.406308  0.00678079
          53   -0.456321   -0.407251  0.00671819
          54   -0.433114    -0.40773  0.00661083
          55   -0.366271   -0.406977  0.00653347
          56   -0.332053   -0.405639  0.00655236
          57   -0.361034   -0.404856  0.00648396
          58   -0.419258   -0.405104  0.00637692
          59   -0.332281    -0.40387  0.00638718
          60   -0.391328   -0.403661  0.00628414
          61   -0.409153   -0.403751  0.00618177
          62      -0.361   -0.403062   0.0061204
          63   -0.326994   -0.401854  0.00614119
          64   -0.401695   -0.401852  0.00604524
          65   -0.452228   -0.402627  0.00600171
          66   -0.454621   -0.403415  0.00596225
          67   -0.422041   -0.403693  0.00587974
          68   -0.394887   -0.403563   0.0057947
          69   -0.368991   -0.403062  0.00573234
          70   -0.427141   -0.403406  0.00566076
          71   -0.424486   -0.403703  0.00558881
          72    -0.41445   -0.403852  0.00551318
          73   -0.302197    -0.40246  0.00561077
          74   -0.336627    -0.40157  0.00560503
          75   -0.384124   -0.401337  0.00553512
          76   -0.299589   -0.399999  0.00562187
          77    -0.40835   -0.400107   0.0055499
          78   -0.384936   -0.399913  0.00548216
          79   -0.428573   -0.400275  0.00542476
          80   -0.397627   -0.400242  0.00535705
          81   -0.419954   -0.400486  0.00529643
          82   -0.415965   -0.400674  0.00523521
          83   -0.378347   -0.400405  0.00517904
          84   -0.422722   -0.400671  0.00512419
          85   -0.337121   -0.399923  0.00511816
          86   -0.395018   -0.399866  0.00505897
          87   -0.389037   -0.399742  0.00500235
          88   -0.408325   -0.399839  0.00494645
          89   -0.452444    -0.40043  0.00492606
          90    -0.52597   -0.401825  0.00506497
          91   -0.609238   -0.404105  0.00549828
          92   -0.583858   -0.406058  0.00577525
          93   -0.559663    -0.40771  0.00594464
          94   -0.523103   -0.408938  0.00600681
          95   -0.425345    -0.40911  0.00594606
          96   -0.410742   -0.409127  0.00588415
          97   -0.403232   -0.409067   0.0058238
          98   -0.379259   -0.408762  0.00577231
          99   -0.427602   -0.408953  0.00571714
         100   -0.462569   -0.409489  0.00568505
         101    -0.45689   -0.409958  0.00564811
         102   -0.412604   -0.409984  0.00559279
         103    -0.43796   -0.410256  0.00554508
         104   -0.413514   -0.410287  0.00549185
         105   -0.431448   -0.410489  0.00544325
         106   -0.411092   -0.410494   0.0053919
         107   -0.397364   -0.410372   0.0053429
         108   -0.372619   -0.410022  0.00530485
         109   -0.437087    -0.41027  0.00526199
         110   -0.436618    -0.41051  0.00521961
         111   -0.442434   -0.410797   0.0051805
         112   -0.412346   -0.410811  0.00513426
         113   -0.404041   -0.410751  0.00508918
         114   -0.470516   -0.411276  0.00507147
         115   -0.438304   -0.411511  0.00503281
         116   -0.488003    -0.41217  0.00503244
         117   -0.485537   -0.412797  0.00502834
         118   -0.422051   -0.412876  0.00498634
         119   -0.388056   -0.412667   0.0049488
         120   -0.370688   -0.412317  0.00491991
         121   -0.416795   -0.412354  0.00487939
         122   -0.389526   -0.412167  0.00484298
         123   -0.435877    -0.41236  0.00480744
         124   -0.468257   -0.412811  0.00478976
         125   -0.408707   -0.412778  0.00475155
         126   -0.385113   -0.412558  0.00471891
         127   -0.406153   -0.412508  0.00468202
         128   -0.439283   -0.412717  0.00465011
         129   -0.453812   -0.413036  0.00462497
         130   -0.502849   -0.413726   0.0046407
         131   -0.425637   -0.413817  0.00460617
         132   -0.354687   -0.413369    0.004593
         133   -0.350797   -0.412899   0.0045825
         134   -0.351521   -0.412441  0.00457114
         135   -0.412319    -0.41244  0.00453728
         136   -0.390885   -0.412281  0.00450668
         137   -0.377393   -0.412027  0.00448098
         138   -0.380583   -0.411799   0.0044543
         139   -0.432359   -0.411947  0.00442471
         140   -0.328968   -0.411354  0.00443262
