#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.54719    -5.54719           0
           2    -5.46218    -5.50468   0.0300548
           3    -5.45236    -5.48724   0.0245823
           4    -5.49765    -5.48984   0.0185739
           5     -5.5016    -5.49219   0.0150073
           6      -5.462    -5.48716   0.0133234
           7     -5.4167    -5.47709     0.01474
           8    -5.47082    -5.47631   0.0129183
           9    -5.46125    -5.47464   0.0115908
          10    -5.49993    -5.47717    0.010704
          11    -5.51752    -5.48084   0.0103405
          12    -5.45275     -5.4785  0.00974008
          13    -5.46127    -5.47717   0.0090805
          14    -5.45803     -5.4758  0.00853422
          15    -5.46013    -5.47476    0.008029
          16    -5.45406    -5.47346  0.00763064
          17    -5.48143    -5.47393  0.00719615
          18    -5.50402     -5.4756   0.0069878
          19    -5.46731    -5.47517  0.00663365
          20    -5.42967    -5.47289  0.00668063
          21    -5.44347    -5.47149  0.00650781
          22    -5.43249    -5.46972  0.00644898
          23    -5.47874    -5.47011   0.0061805
          24    -5.46701    -5.46998  0.00592433
          25    -5.43702    -5.46866  0.00583219
          26    -5.49652    -5.46973  0.00570541
          27    -5.46822    -5.46968  0.00549437
          28     -5.4405    -5.46864   0.0053961
          29     -5.4904    -5.46939  0.00526193
          30    -5.46305    -5.46918  0.00509077
          31    -5.46416    -5.46901  0.00492913
          32    -5.48206    -5.46942  0.00479193
          33    -5.50004    -5.47035  0.00473569
          34     -5.4606    -5.47006  0.00460509
          35    -5.50465    -5.47105   0.0045783
          36    -5.45647    -5.47065  0.00446901
          37    -5.45328    -5.47018  0.00437282
          38    -5.47233    -5.47023  0.00425811
          39    -5.46357    -5.47006  0.00415235
          40    -5.43846    -5.46927  0.00412303
          41    -5.46055    -5.46906  0.00402795
          42    -5.46278    -5.46891  0.00393482
          43    -5.41559    -5.46767  0.00403399
          44     -5.4447    -5.46715  0.00397593
          45     -5.4944    -5.46775  0.00393342
          46    -5.46098    -5.46761  0.00385067
          47    -5.47541    -5.46777  0.00377232
          48     -5.4456    -5.46731  0.00372189
          49    -5.47556    -5.46748  0.00364974
          50    -5.48459    -5.46782  0.00359275
          51    -5.48006    -5.46806  0.00353031
          52    -5.48921    -5.46847  0.00348577
          53    -5.44939    -5.46811  0.00343853
          54    -5.47383    -5.46821  0.00337649
          55    -5.48338    -5.46849  0.00332635
          56    -5.47274    -5.46857  0.00326781
          57    -5.51219    -5.46933  0.00329889
          58    -5.46929    -5.46933  0.00324201
          59    -5.47693    -5.46946  0.00318963
          60    -5.51517    -5.47022  0.00322617
          61    -5.44402    -5.46979  0.00320175
          62    -5.45997    -5.46963  0.00315403
          63    -5.45959    -5.46947  0.00310799
          64    -5.48449    -5.46971  0.00306828
          65    -5.44032    -5.46926  0.00305421
          66    -5.48382    -5.46948   0.0030159
          67    -5.42595    -5.46883  0.00304004
          68    -5.45638    -5.46864  0.00300084
          69    -5.46164    -5.46854  0.00295907
          70    -5.49275    -5.46889  0.00293693
          71    -5.50274    -5.46936  0.00293401
          72    -5.48259    -5.46955    0.002899
          73    -5.47612    -5.46964  0.00286069
          74    -5.45386    -5.46943  0.00282997
          75    -5.38851    -5.46835  0.00299083
          76    -5.46639    -5.46832  0.00295158
          77    -5.49129    -5.46862  0.00292829
          78     -5.5198    -5.46928  0.00296337
          79      -5.489    -5.46953  0.00293636
          80    -5.46081    -5.46942  0.00290168
          81    -5.45432    -5.46923  0.00287183
          82    -5.49439    -5.46954  0.00285315
          83    -5.44408    -5.46923  0.00283521
          84    -5.36017    -5.46793  0.00308444
          85    -5.49378    -5.46824   0.0030631
          86    -5.47023    -5.46826  0.00302757
          87    -5.50627     -5.4687  0.00302413
          88    -5.45499    -5.46854  0.00299378
          89    -5.37695    -5.46751  0.00313201
          90    -5.41382    -5.46691  0.00315352
          91    -5.45833    -5.46682  0.00312028
          92    -5.49276     -5.4671  0.00309908
          93    -5.44957    -5.46691  0.00307148
          94     -5.4676    -5.46692  0.00303882
          95    -5.51229     -5.4674  0.00304413
          96    -5.41165    -5.46682  0.00306732
          97     -5.4749     -5.4669  0.00303683
          98    -5.46022    -5.46683  0.00300661
          99    -5.42807    -5.46644  0.00300162
         100    -5.46999    -5.46648  0.00297181
