#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.42873    -5.42873           0
           2    -5.44923    -5.43898  0.00724437
           3      -5.538    -5.47199    0.027378
           4    -5.62623    -5.51055   0.0392019
           5    -5.53796    -5.51603   0.0317425
           6    -5.54036    -5.52008   0.0267098
           7    -5.49757    -5.51687    0.023087
           8    -5.50503    -5.51539   0.0202485
           9      -5.542    -5.51834   0.0182134
          10    -5.51932    -5.51844   0.0163923
          11    -5.46256    -5.51336   0.0156695
          12    -5.48837    -5.51128   0.0145014
          13    -5.60267    -5.51831   0.0149933
          14    -5.58332    -5.52295   0.0146237
          15    -5.58007    -5.52676   0.0141359
          16    -5.60741     -5.5318   0.0141225
          17    -5.54522    -5.53259   0.0133138
          18    -5.51335    -5.53152    0.012617
          19    -5.45961    -5.52774   0.0125078
          20    -5.44922    -5.52381   0.0124833
          21    -5.51482    -5.52338   0.0118962
          22    -5.43184    -5.51922   0.0120612
          23    -5.45185    -5.51629   0.0118872
          24     -5.4433    -5.51325   0.0117746
          25     -5.5951    -5.51652     0.01175
          26    -5.53099    -5.51708   0.0113113
          27    -5.50494    -5.51663   0.0109013
          28    -5.53904    -5.51743   0.0105413
          29    -5.59753    -5.52019   0.0105334
          30    -5.57693    -5.52208   0.0103507
          31    -5.59148    -5.52432    0.010256
          32    -5.57048    -5.52577   0.0100364
          33    -5.44978    -5.52346  0.00999296
          34    -5.43014    -5.52072    0.010069
          35    -5.46785    -5.51921  0.00989393
          36    -5.55018    -5.52007  0.00965644
          37    -5.51406    -5.51991  0.00939682
          38    -5.47157    -5.51863  0.00923523
          39    -5.53122    -5.51896  0.00900407
          40    -5.46394    -5.51758  0.00888338
          41    -5.37658    -5.51414   0.0093086
          42      -5.435    -5.51226  0.00927574
          43    -5.46305    -5.51111  0.00913033
          44     -5.3877    -5.50831  0.00934375
          45    -5.40674    -5.50605  0.00940478
          46    -5.43807    -5.50457  0.00931573
          47    -5.55738     -5.5057  0.00918504
          48    -5.50142    -5.50561  0.00899411
          49     -5.4731    -5.50494    0.008835
          50    -5.62223    -5.50729  0.00896431
          51    -5.63982    -5.50989  0.00915745
          52    -5.59428    -5.51151  0.00912403
          53    -5.60638     -5.5133  0.00912576
          54    -5.65439    -5.51591   0.0093233
          55    -5.64855    -5.51833  0.00946055
          56    -5.61046    -5.51997  0.00943359
          57    -5.53034    -5.52015  0.00926984
          58    -5.57478     -5.5211  0.00915773
          59    -5.49633    -5.52068  0.00901213
          60    -5.58941    -5.52182  0.00893444
          61     -5.6098    -5.52326  0.00890363
          62    -5.54796    -5.52366  0.00876893
          63    -5.51813    -5.52357  0.00863018
          64    -5.51536    -5.52345  0.00849629
          65    -5.58895    -5.52445  0.00842514
          66     -5.5842    -5.52536  0.00834597
          67    -5.48506    -5.52476  0.00824305
          68    -5.48118    -5.52412   0.0081467
          69      -5.407    -5.52242  0.00820356
          70    -5.42246    -5.52099   0.0082097
          71    -5.42343    -5.51962  0.00820826
          72    -5.41304    -5.51814  0.00822665
          73    -5.41645    -5.51674  0.00823104
          74     -5.4672    -5.51607  0.00814699
          75    -5.45313    -5.51523  0.00808147
          76     -5.3829    -5.51349  0.00816055
          77    -5.38497    -5.51182  0.00822349
          78    -5.37036    -5.51001  0.00831565
          79     -5.4513    -5.50927  0.00824353
          80    -5.42986    -5.50828  0.00820002
          81    -5.56784    -5.50901  0.00813169
          82    -5.53189    -5.50929  0.00803731
          83    -5.58667    -5.51022  0.00799437
          84    -5.46438    -5.50968  0.00791781
          85    -5.47615    -5.50928  0.00783448
          86    -5.50463    -5.50923  0.00774356
          87    -5.56487    -5.50987  0.00768092
          88    -5.53962    -5.51021  0.00760108
          89    -5.61741    -5.51141  0.00761052
          90      -5.569    -5.51205  0.00755281
          91    -5.49151    -5.51182  0.00747318
          92    -5.39446    -5.51055  0.00750005
          93     -5.4597       -5.51   0.0074393
          94    -5.42639    -5.50911  0.00741315
          95     -5.4708    -5.50871  0.00734608
          96    -5.41928    -5.50778  0.00732839
          97    -5.50953     -5.5078  0.00725286
          98    -5.52765      -5.508  0.00718168
          99    -5.46279    -5.50754  0.00712364
         100    -5.45171    -5.50698  0.00707425
         101    -5.57546    -5.50766  0.00703663
         102    -5.58656    -5.50843  0.00701003
         103    -5.58239    -5.50915  0.00697864
         104    -5.62412    -5.51026  0.00699855
         105    -5.62313    -5.51133  0.00701397
         106    -5.61677    -5.51233  0.00701797
         107    -5.55646    -5.51274  0.00696449
         108    -5.49173    -5.51255  0.00690272
         109    -5.54942    -5.51288  0.00684768
         110    -5.63361    -5.51398  0.00687281
         111    -5.55361    -5.51434  0.00682016
         112    -5.54781    -5.51464  0.00676581
         113    -5.61015    -5.51548  0.00675852
         114    -5.59495    -5.51618  0.00673509
         115    -5.62356    -5.51711  0.00674094
         116    -5.58434    -5.51769   0.0067077
         117    -5.55886    -5.51804  0.00665959
         118    -5.59228    -5.51867   0.0066328
         119    -5.64145    -5.51971  0.00665683
         120    -5.68863    -5.52111  0.00674855
         121    -5.64309    -5.52212  0.00676764
         122    -5.53649    -5.52224   0.0067132
         123    -5.49346      -5.522  0.00666269
         124     -5.6018    -5.52265  0.00663996
         125    -5.62001    -5.52343  0.00663237
         126     -5.5259    -5.52345  0.00657976
         127    -5.57543    -5.52386  0.00654067
         128     -5.6348    -5.52472  0.00654675
         129    -5.61197     -5.5254  0.00653084
         130    -5.61707     -5.5261  0.00651856
         131    -5.54941    -5.52628  0.00647123
         132    -5.50978    -5.52616  0.00642341
         133    -5.46861    -5.52572  0.00638967
         134    -5.44686    -5.52514  0.00636903
         135     -5.5338     -5.5252  0.00632218
         136    -5.46337    -5.52475  0.00629201
         137    -5.46665    -5.52432  0.00626036
         138    -5.46383    -5.52388  0.00623033
         139    -5.45385    -5.52338  0.00620584
         140    -5.53895    -5.52349  0.00616251
         141    -5.56525    -5.52379  0.00612592
         142     -5.5398     -5.5239  0.00608381
         143    -5.54895    -5.52407  0.00604379
         144    -5.60926    -5.52467   0.0060307
         145    -5.58521    -5.52508  0.00600355
         146    -5.43119    -5.52444  0.00599678
         147    -5.48548    -5.52418  0.00596184
         148    -5.48756    -5.52393  0.00592669
         149     -5.5243    -5.52393  0.00588691
         150    -5.57144    -5.52425  0.00585618
         151    -5.53431    -5.52431  0.00581777
         152      -5.416     -5.5236  0.00582297
         153    -5.44685     -5.5231  0.00580648
         154    -5.43127     -5.5225  0.00579932
         155    -5.46111    -5.52211  0.00577541
         156     -5.4846    -5.52187  0.00574339
         157    -5.49704    -5.52171  0.00570899
         158    -5.55063    -5.52189  0.00567579
         159    -5.52823    -5.52193  0.00564023
         160    -5.51406    -5.52188   0.0056052
         161    -5.40259    -5.52114  0.00561914
         162    -5.35056    -5.52009  0.00568225
         163    -5.38586    -5.51927  0.00570675
         164     -5.3822    -5.51843  0.00573283
         165     -5.2643    -5.51689  0.00590136
         166    -5.36591    -5.51598  0.00593548
         167    -5.37631    -5.51514  0.00595856
         168    -5.31047    -5.51393  0.00604637
         169    -5.27196    -5.51249  0.00617777
         170    -5.38584    -5.51175  0.00618619
         171    -5.38142    -5.51099  0.00619679
         172    -5.43471    -5.51054  0.00617661
         173    -5.51519    -5.51057  0.00614097
         174    -5.44083    -5.51017  0.00611874
         175    -5.44024    -5.50977  0.00609681
         176    -5.43874    -5.50937  0.00607551
         177    -5.32789    -5.50834  0.00612708
         178    -5.38797    -5.50766  0.00612987
         179    -5.36052    -5.50684  0.00615049
         180    -5.45165    -5.50654  0.00612396
         181    -5.45298    -5.50624  0.00609727
         182    -5.43619    -5.50585  0.00607591
         183    -5.50648    -5.50586  0.00604271
         184    -5.55392    -5.50612  0.00601551
         185    -5.50419    -5.50611    0.005983
         186    -5.49161    -5.50603  0.00595134
         187     -5.3572    -5.50523   0.0059725
         188    -5.48304    -5.50512   0.0059419
         189    -5.39838    -5.50455  0.00593723
         190    -5.50096    -5.50453  0.00590601
         191    -5.43498    -5.50417  0.00588631
         192    -5.56323    -5.50448  0.00586368
         193    -5.41381    -5.50401  0.00585209
         194    -5.49844    -5.50398  0.00582199
         195    -5.41537    -5.50352  0.00580984
         196    -5.48514    -5.50343  0.00578096
         197    -5.50887    -5.50346  0.00575168
         198     -5.4887    -5.50338  0.00572311
         199    -5.52485    -5.50349  0.00569537
         200     -5.4511    -5.50323  0.00567292
         201    -5.37921    -5.50261  0.00567815
         202    -5.31826     -5.5017  0.00572291
         203    -5.36683    -5.50104  0.00573315
         204    -5.46035    -5.50084  0.00570852
         205    -5.52867    -5.50097  0.00568229
         206     -5.5692     -5.5013  0.00566435
         207    -5.54878    -5.50153  0.00564162
         208    -5.53517    -5.50169  0.00561682
         209     -5.5629    -5.50199  0.00559757
         210    -5.55055    -5.50222  0.00557569
         211    -5.55425    -5.50246  0.00555472
         212    -5.55919    -5.50273  0.00553496
         213    -5.58107     -5.5031  0.00552118
         214    -5.58677    -5.50349   0.0055092
         215    -5.54154    -5.50367  0.00548642
         216    -5.49614    -5.50363  0.00546113
         217    -5.57876    -5.50398  0.00544693
         218     -5.5655    -5.50426  0.00542925
         219    -5.52251    -5.50434  0.00540509
         220    -5.52135    -5.50442  0.00538108
         221    -5.50577    -5.50443  0.00535673
         222    -5.40391    -5.50398   0.0053517
         223    -5.45373    -5.50375  0.00533245
         224    -5.47277    -5.50361  0.00531043
         225    -5.46485    -5.50344  0.00528963
         226    -5.49185    -5.50339  0.00526647
         227    -5.45022    -5.50315  0.00524848
         228    -5.38371    -5.50263  0.00525153
         229    -5.34029    -5.50192  0.00527623
         230    -5.40092    -5.50148  0.00527153
         231    -5.46846    -5.50134  0.00525065
         232    -5.45229    -5.50113  0.00523227
         233    -5.44147    -5.50087  0.00521608
         234    -5.45555    -5.50068  0.00519738
         235    -5.47862    -5.50058  0.00517611
         236    -5.46965    -5.50045  0.00515584
         237    -5.43585    -5.50018  0.00514129
         238    -5.48871    -5.50013  0.00511991
         239    -5.54334    -5.50031  0.00510168
         240    -5.44183    -5.50007  0.00508624
         241    -5.44695    -5.49985  0.00506991
         242    -5.44351    -5.49962   0.0050543
         243    -5.46615    -5.49948  0.00503538
         244    -5.35004    -5.49887  0.00505185
         245    -5.45297    -5.49868   0.0050347
         246    -5.45404     -5.4985   0.0050175
         247    -5.46283    -5.49835  0.00499927
         248    -5.46607    -5.49822   0.0049808
         249    -5.50588    -5.49825   0.0049609
         250    -5.54217    -5.49843  0.00494416
         251    -5.55852    -5.49867  0.00493026
         252    -5.50354    -5.49869  0.00491073
         253    -5.51401    -5.49875  0.00489169
         254    -5.50353    -5.49877  0.00487247
         255    -5.43701    -5.49852  0.00485938
         256    -5.43868    -5.49829  0.00484601
         257    -5.44914     -5.4981  0.00483093
         258    -5.48828    -5.49806  0.00481236
         259    -5.24071    -5.49707  0.00489528
         260    -5.28646    -5.49626  0.00494302
         261    -5.31734    -5.49557  0.00497139
         262    -5.34401    -5.49499  0.00498596
         263    -5.43564    -5.49477   0.0049721
         264    -5.48083    -5.49472  0.00495355
         265    -5.36323    -5.49422  0.00495964
         266    -5.33728    -5.49363  0.00497597
         267     -5.4483    -5.49346  0.00496023
         268    -5.39557    -5.49309  0.00495515
         269    -5.45467    -5.49295  0.00493878
