#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -7.5735     -7.5735           0
           2    -7.52406    -7.54878   0.0174786
           3    -7.57609    -7.55788   0.0138214
           4    -7.58147    -7.56378   0.0115562
           5    -7.53916    -7.55886   0.0102401
           6    -7.55453    -7.55814  0.00855871
           7    -7.53512    -7.55485  0.00794243
           8    -7.54514    -7.55363  0.00704167
           9    -7.54187    -7.55233  0.00637939
          10    -7.58468    -7.55556  0.00651049
          11    -7.56173    -7.55612  0.00594274
          12    -7.53523    -7.55438  0.00569696
          13    -7.53061    -7.55255  0.00554444
          14    -7.54304    -7.55187  0.00518991
          15    -7.55845    -7.55231   0.0048624
          16     -7.5751    -7.55374  0.00476247
          17    -7.50767    -7.55103  0.00519622
          18    -7.51511    -7.54903  0.00527683
          19    -7.55876    -7.54954   0.0050239
          20    -7.58389    -7.55126  0.00505773
          21    -7.55514    -7.55145  0.00482025
          22    -7.53159    -7.55054  0.00468492
          23    -7.53649    -7.54993  0.00452088
          24    -7.56317    -7.55048  0.00436604
          25    -7.54347     -7.5502  0.00420039
          26    -7.57528    -7.55117  0.00414812
          27    -7.56265    -7.55159  0.00401624
          28    -7.54713    -7.55143  0.00387597
          29    -7.50798    -7.54994  0.00402157
          30    -7.56941    -7.55058  0.00393956
          31    -7.53099    -7.54995  0.00386283
          32    -7.53467    -7.54947  0.00377151
          33    -7.50151    -7.54802  0.00392733
          34    -7.54363    -7.54789  0.00381394
          35    -7.56842    -7.54848  0.00374979
          36    -7.56735      -7.549  0.00368208
          37    -7.55157    -7.54907  0.00358322
          38    -7.55656    -7.54927  0.00349433
          39    -7.54436    -7.54914    0.003407
          40    -7.53562    -7.54881  0.00333855
          41    -7.54432     -7.5487  0.00325891
          42    -7.53839    -7.54845  0.00319055
          43     -7.4982    -7.54728  0.00332352
          44    -7.54124    -7.54714  0.00325081
          45    -7.53872    -7.54696  0.00318396
          46    -7.54734    -7.54697  0.00311475
          47    -7.55458    -7.54713  0.00305269
          48    -7.54779    -7.54714  0.00298913
          49    -7.55993     -7.5474  0.00293949
          50    -7.54589    -7.54737  0.00288085
          51    -7.57462    -7.54791  0.00287348
          52    -7.58262    -7.54857  0.00289473
          53    -7.52037    -7.54804  0.00288862
          54    -7.55073    -7.54809  0.00283555
          55    -7.58012    -7.54867  0.00284318
          56    -7.56756    -7.54901  0.00281234
          57    -7.56318    -7.54926  0.00277397
          58    -7.55111    -7.54929  0.00272633
          59    -7.51052    -7.54863  0.00275817
          60    -7.52843     -7.5483  0.00273268
          61    -7.53363    -7.54806  0.00269845
          62    -7.52864    -7.54774  0.00267304
          63    -7.56259    -7.54798  0.00264097
          64    -7.54782    -7.54798  0.00259971
          65    -7.58454    -7.54854  0.00261987
          66    -7.55102    -7.54858  0.00258044
          67    -7.51489    -7.54807  0.00259045
          68    -7.56837    -7.54837  0.00256948
          69    -7.56636    -7.54863  0.00254543
          70    -7.60405    -7.54943   0.0026293
          71    -7.57582     -7.5498  0.00261842
          72    -7.52366    -7.54943  0.00260711
          73    -7.51746      -7.549  0.00260794
          74    -7.53626    -7.54882  0.00257837
          75    -7.54035    -7.54871  0.00254646
          76    -7.56955    -7.54899  0.00252767
          77    -7.54743    -7.54897  0.00249493
          78    -7.57422    -7.54929  0.00248387
          79    -7.55171    -7.54932  0.00245262
          80    -7.53562    -7.54915  0.00242793
          81    -7.51758    -7.54876  0.00242903
          82     -7.5654    -7.54896  0.00240787
          83    -7.50257     -7.5484  0.00244288
          84    -7.49119    -7.54772  0.00250696
          85    -7.56935    -7.54798  0.00249035
          86    -7.56525    -7.54818  0.00246947
          87     -7.4851    -7.54745  0.00254529
          88    -7.52441    -7.54719   0.0025298
          89    -7.55048    -7.54723  0.00250165
          90    -7.55274    -7.54729   0.0024746
          91    -7.58057    -7.54765  0.00247429
          92    -7.55004    -7.54768  0.00244753
          93    -7.53406    -7.54753  0.00242559
          94    -7.52497    -7.54729  0.00241163
          95     -7.5404    -7.54722  0.00238733
          96    -7.53101    -7.54705  0.00236843
          97    -7.52285     -7.5468  0.00235712
          98     -7.5602    -7.54694  0.00233703
          99    -7.54549    -7.54692  0.00231347
         100    -7.53307    -7.54679  0.00229448
