#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.358202   -0.358202           0
           2    -0.36736   -0.362781  0.00323781
           3   -0.374424   -0.366662   0.0038342
           4   -0.361517   -0.365376  0.00308388
           5   -0.397025   -0.371706  0.00617572
           6   -0.396821   -0.375892  0.00640993
           7   -0.396541   -0.378841  0.00613557
           8   -0.400705   -0.381574  0.00594621
           9   -0.391569   -0.382685  0.00538822
          10   -0.375065   -0.381923  0.00490297
          11    -0.37697   -0.381473  0.00447788
          12   -0.386225   -0.381869   0.0041222
          13   -0.384157   -0.382045  0.00380886
          14   -0.390999   -0.382684   0.0035901
          15   -0.348031   -0.380374  0.00402602
          16   -0.340983   -0.377912   0.0044641
          17    -0.33117   -0.375163  0.00497675
          18   -0.348048   -0.373656  0.00492297
          19   -0.341234    -0.37195  0.00495079
          20   -0.345026   -0.370604  0.00488284
          21   -0.356524   -0.369933  0.00469613
          22    -0.34866   -0.368966  0.00458114
          23   -0.354235   -0.368326  0.00442651
          24   -0.322529   -0.366417  0.00463516
          25   -0.319575   -0.364544  0.00481359
          26   -0.311772   -0.362514  0.00503822
          27   -0.332624   -0.361407  0.00497176
          28   -0.338808     -0.3606  0.00485927
          29   -0.358083   -0.360513  0.00469249
          30   -0.323405   -0.359276  0.00469627
          31   -0.327126   -0.358239  0.00465788
          32    -0.32551   -0.357216  0.00462326
          33   -0.325705   -0.356261   0.0045807
          34   -0.325128   -0.355346  0.00453658
          35   -0.352786   -0.355273  0.00440755
          36   -0.373676   -0.355784  0.00431466
          37   -0.396711    -0.35689  0.00433752
          38   -0.385875   -0.357653  0.00428992
          39   -0.383942   -0.358327  0.00423255
          40   -0.389219   -0.359099   0.0041966
          41   -0.351349    -0.35891   0.0040985
          42   -0.339105   -0.358438  0.00402795
          43   -0.336238   -0.357922  0.00396723
          44   -0.350695   -0.357758  0.00388046
          45   -0.370898    -0.35805   0.0038052
          46   -0.394461   -0.358841  0.00380392
          47   -0.413607   -0.360007  0.00389737
          48   -0.417612   -0.361207  0.00399668
          49    -0.43922   -0.362799  0.00422033
          50   -0.442337    -0.36439  0.00442558
          51   -0.446671   -0.366003  0.00462354
          52   -0.423167   -0.367102  0.00466348
          53   -0.426572   -0.368224  0.00470855
          54     -0.3873   -0.368578  0.00463458
          55   -0.402837   -0.369201  0.00459199
          56   -0.404085   -0.369824  0.00455204
          57   -0.406309   -0.370464  0.00451696
          58   -0.431246   -0.371512  0.00455903
          59   -0.389692    -0.37182  0.00449216
          60   -0.376163   -0.371892  0.00441788
          61   -0.338429   -0.371344  0.00437938
          62   -0.338539   -0.370814  0.00434059
          63   -0.346982   -0.370436  0.00428814
          64   -0.374314   -0.370497  0.00422157
          65   -0.386509   -0.370743   0.0041638
          66   -0.386069   -0.370975  0.00410719
          67   -0.403914   -0.371467   0.0040752
          68    -0.40639    -0.37198   0.0040475
          69   -0.427767   -0.372789  0.00406879
          70   -0.433834   -0.373661  0.00410306
          71   -0.464748   -0.374944   0.0042411
          72    -0.42644   -0.375659  0.00424207
          73   -0.438249   -0.376517  0.00426973
          74   -0.425684   -0.377181  0.00426341
          75   -0.421924   -0.377778   0.0042481
          76   -0.390903    -0.37795  0.00419572
          77   -0.397244   -0.378201   0.0041487
          78   -0.390264   -0.378356  0.00409839
          79   -0.394186   -0.378556  0.00405141
          80    -0.36965   -0.378445   0.0040023
          81   -0.398875   -0.378697  0.00396083
          82   -0.404657   -0.379013  0.00392516
          83   -0.420323   -0.379511  0.00390929
          84   -0.425357   -0.380057  0.00390066
          85   -0.441956   -0.380785  0.00392216
          86   -0.450314   -0.381594    0.003959
          87   -0.448344   -0.382361  0.00398715
          88   -0.451668   -0.383148  0.00401887
          89   -0.441996    -0.38381  0.00402774
          90   -0.409891   -0.384099   0.0039934
          91   -0.390046   -0.384165  0.00395005
          92   -0.395163   -0.384284  0.00390893
          93   -0.408706   -0.384547  0.00387571
          94   -0.436353   -0.385098  0.00387346
          95   -0.444817   -0.385727  0.00388336
          96   -0.432614   -0.386215   0.0038735
          97   -0.452426   -0.386898  0.00389325
          98    -0.43475   -0.387386  0.00388402
          99   -0.425781   -0.387774   0.0038641
         100   -0.426839   -0.388164  0.00384516
