#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -8.49169    -8.49169           0
           2    -8.37112     -8.4314   0.0426269
           3    -8.21585    -8.35955    0.065186
           4     -8.1362    -8.30371   0.0687652
           5    -8.01341    -8.24565   0.0756511
           6    -7.93411    -8.19373   0.0788737
           7    -7.91527    -8.15395   0.0769868
           8    -7.90945    -8.12339   0.0731789
           9    -7.91895    -8.10067   0.0684829
          10    -7.88027    -8.07863   0.0650847
          11    -7.88673    -8.06119   0.0614615
          12    -7.83981    -8.04274   0.0590435
          13    -7.78865    -8.02319    0.057646
          14    -7.71918    -8.00148    0.057473
          15      -7.803    -7.98825   0.0551436
          16    -7.83351    -7.97858   0.0525383
          17    -7.78175      -7.967   0.0507075
          18    -7.75977    -7.95549   0.0491799
          19    -7.67834     -7.9409   0.0487066
          20    -7.71879    -7.92979   0.0475205
          21    -7.73782    -7.92065   0.0461285
          22    -7.75483    -7.91311   0.0446434
          23    -7.78792    -7.90767   0.0430329
          24    -7.79944    -7.90316   0.0414755
          25    -7.75825    -7.89736   0.0402195
          26    -7.77244    -7.89256   0.0389586
          27    -7.70539    -7.88563   0.0381274
          28    -7.69832    -7.87894    0.037348
          29    -7.69548    -7.87261    0.036592
          30     -7.6767    -7.86608   0.0359502
          31    -7.58313    -7.85695   0.0359305
          32    -7.58048    -7.84831   0.0358314
          33    -7.59103    -7.84052   0.0355837
          34    -7.61829    -7.83398   0.0351323
          35     -7.6766    -7.82948    0.034415
          36    -7.67658    -7.82524   0.0337202
          37    -7.76655    -7.82365   0.0328461
          38    -7.70901    -7.82063     0.03212
          39    -7.74568    -7.81871   0.0313538
          40    -7.72042    -7.81626   0.0306661
          41    -7.66641     -7.8126   0.0301352
          42    -7.71691    -7.81032   0.0295037
          43    -7.70191     -7.8078    0.028925
          44    -7.63449    -7.80386   0.0285346
          45     -7.6071    -7.79949   0.0282335
          46    -7.53991    -7.79385    0.028178
          47    -7.55975    -7.78887   0.0280153
          48    -7.49608    -7.78277   0.0280878
          49    -7.55115    -7.77804   0.0279095
          50    -7.56534    -7.77379   0.0276736
          51    -7.60187    -7.77041   0.0273355
          52    -7.56922    -7.76655   0.0270823
          53    -7.52996    -7.76208   0.0269367
          54    -7.49593    -7.75715    0.026885
          55    -7.48124    -7.75214   0.0268601
          56    -7.48128     -7.7473   0.0268124
          57    -7.52853    -7.74346   0.0266153
          58    -7.50859    -7.73941   0.0264627
          59    -7.59236    -7.73692   0.0261313
          60    -7.54569    -7.73373   0.0258894
          61    -7.51459    -7.73014    0.025713
          62    -7.42956    -7.72529   0.0257513
          63    -7.48271    -7.72144   0.0256288
          64    -7.44799    -7.71717    0.025582
          65    -7.46215    -7.71324   0.0254875
          66    -7.46436    -7.70947   0.0253788
          67    -7.51456    -7.70656   0.0251662
          68     -7.4979     -7.7035   0.0249825
          69    -7.52132    -7.70086   0.0247595
          70    -7.48472    -7.69777   0.0245976
          71    -7.50965    -7.69512   0.0243934
          72    -7.51065    -7.69256   0.0241888
          73    -7.43318      -7.689    0.024117
          74    -7.35605     -7.6845   0.0242072
          75    -7.43392    -7.68116   0.0241139
          76     -7.4736    -7.67843   0.0239508
          77    -7.45033    -7.67547   0.0238222
          78    -7.51164    -7.67337   0.0236092
          79    -7.52371    -7.67147   0.0233862
          80    -7.48585    -7.66915   0.0232087
          81    -7.50153    -7.66709   0.0230143
          82    -7.45182    -7.66446   0.0228828
          83    -7.48468    -7.66229   0.0227094
          84    -7.47202    -7.66003   0.0225518
          85    -7.50843    -7.65825   0.0223569
          86    -7.48915    -7.65628   0.0221832
          87    -7.48891    -7.65436   0.0220115
          88    -7.44145    -7.65194   0.0218939
          89    -7.48127    -7.65002   0.0217317
          90    -7.48015    -7.64813   0.0215721
          91    -7.53931    -7.64693   0.0213681
          92    -7.52886    -7.64565   0.0211744
          93    -7.45526     -7.6436   0.0210454
          94     -7.4355    -7.64139   0.0209376
          95    -7.39799    -7.63883   0.0208734
          96    -7.48809    -7.63726    0.020715
          97    -7.49124    -7.63575    0.020556
          98    -7.44982    -7.63386   0.0204336
          99    -7.44573    -7.63196   0.0203154
         100    -7.45654     -7.6302   0.0201878
         101    -7.55198    -7.62943   0.0200028
         102    -7.55338    -7.62868   0.0198206
         103    -7.62401    -7.62864   0.0196282
         104    -7.59872    -7.62835   0.0194416
         105    -7.59376    -7.62802   0.0192592
         106    -7.59226    -7.62768   0.0190805
         107    -7.50857    -7.62657   0.0189346
         108    -7.47654    -7.62518   0.0188102
         109    -7.60292    -7.62498   0.0186387
         110    -7.55913    -7.62438   0.0184789
         111    -7.58448    -7.62402   0.0183159
         112    -7.60311    -7.62383   0.0181533
         113    -7.48568    -7.62261   0.0180338
         114    -7.49129    -7.62146   0.0179123
         115    -7.47833    -7.62021   0.0177998
         116    -7.56609    -7.61974   0.0176524
         117     -7.4402    -7.61821   0.0175681
         118    -7.46265    -7.61689   0.0174686
         119    -7.53466     -7.6162   0.0173355
         120    -7.53915    -7.61556   0.0172029
         121     -7.5257    -7.61482   0.0170768
         122    -7.56159    -7.61438   0.0169424
         123    -7.54136    -7.61379    0.016815
         124    -7.54989    -7.61327   0.0166873
         125    -7.46835    -7.61211   0.0165941
         126    -7.34491    -7.60999   0.0165973
         127    -7.41096    -7.60842   0.0165404
         128    -7.41731    -7.60693   0.0164785
         129     -7.4131    -7.60543   0.0164191
         130    -7.40367    -7.60388    0.016366
         131    -7.37481    -7.60213   0.0163342
         132    -7.36762    -7.60035   0.0163068
         133    -7.34497    -7.59843   0.0162968
         134     -7.4084    -7.59701   0.0162368
         135    -7.44342    -7.59587   0.0161563
         136    -7.46102    -7.59488   0.0160679
         137    -7.43154    -7.59369   0.0159948
         138    -7.37424     -7.5921   0.0159578
         139    -7.39454    -7.59068   0.0159061
         140    -7.28632    -7.58851   0.0159404
         141    -7.33929    -7.58674    0.015925
         142    -7.37485    -7.58525   0.0158826
         143    -7.40537    -7.58399   0.0158213
         144    -7.41696    -7.58283   0.0157539
         145     -7.4396    -7.58184   0.0156762
         146    -7.44172    -7.58088   0.0155982
         147    -7.44217    -7.57994   0.0155206
         148    -7.45423    -7.57909   0.0154389
         149    -7.45698    -7.57827    0.015357
         150    -7.41804     -7.5772   0.0152918
         151    -7.42098    -7.57617   0.0152255
         152    -7.36036    -7.57475   0.0151913
         153    -7.40635    -7.57364   0.0151319
         154    -7.45601    -7.57288   0.0150529
         155    -7.53014    -7.57261   0.0149583
         156    -7.47705    -7.57199   0.0148749
         157    -7.48501    -7.57144   0.0147905
         158    -7.51507    -7.57108   0.0147012
         159    -7.48603    -7.57055   0.0146185
         160    -7.49876     -7.5701    0.014534
         161    -7.46749    -7.56946   0.0144577
         162    -7.55156    -7.56935   0.0143689
         163    -7.46813    -7.56873   0.0142941
         164    -7.45416    -7.56803    0.014224
         165     -7.4458    -7.56729   0.0141571
         166    -7.50495    -7.56691   0.0140768
         167    -7.53786    -7.56674   0.0139936
         168    -7.51313    -7.56642   0.0139139
         169    -7.51941    -7.56614   0.0138344
         170    -7.45018    -7.56546   0.0137698
         171    -7.50691    -7.56512   0.0136935
         172    -7.52148    -7.56486   0.0136163
         173    -7.51233    -7.56456   0.0135409
         174    -7.53381    -7.56438   0.0134643
         175    -7.53408    -7.56421   0.0133884
         176    -7.46019    -7.56362   0.0133254
         177    -7.39163    -7.56265   0.0132855
         178    -7.40833    -7.56178   0.0132391
         179    -7.34378    -7.56056   0.0132211
         180    -7.35688    -7.55943    0.013196
         181    -7.45223    -7.55884   0.0131363
         182    -7.49087    -7.55847   0.0130695
         183    -7.47428    -7.55801   0.0130061
