#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.33674     9.33674           0
           2     9.60356     9.47015    0.094332
           3     9.31811     9.41947   0.0752808
           4     9.30833     9.39168   0.0613746
           5     9.52891     9.41913   0.0548941
           6     9.44993     9.42426   0.0459845
           7     9.56596      9.4445   0.0436436
           8     9.50705     9.45232   0.0388821
           9     9.50944     9.45867   0.0350759
          10       9.271      9.4399   0.0362426
          11     9.40445     9.43668   0.0330909
          12     9.54739      9.4459   0.0315932
          13     9.57397     9.45576   0.0306604
          14     9.50758     9.45946    0.028693
          15     9.42738     9.45732   0.0268597
          16     9.34225     9.45013   0.0261261
          17     9.69857     9.46474    0.028384
          18     9.66455     9.47584   0.0288963
          19     9.41669     9.47273   0.0275426
          20     9.28577     9.46338   0.0277064
