#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0494267   0.0494267           0
           2   0.0483928   0.0489098 0.000365542
           3   0.0488015   0.0488737 0.000245472
           4   0.0487215   0.0488356 0.000187029
           5   0.0497449   0.0490175 0.000221005
           6   0.0494889   0.0490961 0.000197646
           7   0.0487466   0.0490461 0.000175602
           8   0.0490699   0.0490491 0.000153677
           9   0.0489933   0.0490429 0.000136727
          10    0.050853   0.0492239 0.000211261
          11   0.0492118   0.0492228 0.000192058
          12   0.0507252    0.049348 0.000212988
          13   0.0497997   0.0493828 0.000199418
          14   0.0485341   0.0493221 0.000194168
          15   0.0489888   0.0492999 0.000182491
          16   0.0492328   0.0492957 0.000171134
          17   0.0491793   0.0492889 0.000161204
          18   0.0501859   0.0493387 0.000159766
          19    0.049527   0.0493486 0.000151664
          20   0.0497959    0.049371 0.000145721
          21   0.0497945   0.0493911  0.00014017
          22   0.0488699   0.0493675 0.000135786
          23   0.0497145   0.0493825 0.000130718
          24   0.0487389   0.0493557 0.000127993
          25   0.0497099   0.0493699 0.000123655
          26   0.0485509   0.0493384 0.000122845
          27   0.0483246   0.0493008 0.000123902
          28   0.0488596   0.0492851 0.000120474
          29   0.0499117   0.0493067 0.000118242
          30   0.0491535   0.0493016  0.00011441
          31   0.0495971   0.0493111 0.000111116
          32    0.049747   0.0493247 0.000108476
          33   0.0488851   0.0493114 0.000106003
          34   0.0487173   0.0492939 0.000104316
          35   0.0490216   0.0492862 0.000101625
          36   0.0492181   0.0492843   9.882e-05
          37   0.0488624   0.0492729 9.68047e-05
          38    0.049562   0.0492805 9.45558e-05
          39   0.0489275   0.0492714 9.25636e-05
          40   0.0496907   0.0492819  9.0841e-05
          41   0.0489804   0.0492746 8.89225e-05
          42   0.0497805   0.0492866 8.76176e-05
          43   0.0493308   0.0492876  8.5586e-05
          44   0.0495084   0.0492927 8.37879e-05
          45   0.0491604   0.0492897 8.19775e-05
          46   0.0479982   0.0492616 8.48674e-05
          47   0.0501692   0.0492809 8.52301e-05
          48   0.0483312   0.0492612 8.57203e-05
          49     0.04838   0.0492432 8.58365e-05
          50   0.0491597   0.0492415  8.4136e-05
          51   0.0494075   0.0492448 8.25492e-05
          52   0.0488766   0.0492377 8.12648e-05
          53     0.04861   0.0492258 8.05898e-05
          54   0.0500982    0.049242 8.07004e-05
          55   0.0488805   0.0492354 7.95004e-05
          56   0.0497268   0.0492442 7.85634e-05
          57   0.0495664   0.0492498 7.73882e-05
          58   0.0490902   0.0492471 7.61029e-05
          59   0.0482437   0.0492301 7.66897e-05
          60   0.0502172   0.0492465  7.7156e-05
          61   0.0498294   0.0492561 7.64806e-05
          62   0.0486128   0.0492457 7.59476e-05
          63   0.0493547   0.0492474 7.47618e-05
          64   0.0498012   0.0492561 7.40925e-05
          65   0.0479291   0.0492357 7.57132e-05
          66   0.0484657    0.049224 7.54594e-05
          67   0.0488884    0.049219 7.44993e-05
          68   0.0493309   0.0492207 7.34219e-05
          69   0.0494116   0.0492234 7.24099e-05
          70   0.0483989   0.0492116 7.23272e-05
          71   0.0489005   0.0492073 7.14412e-05
          72   0.0499473   0.0492175 7.11844e-05
          73   0.0486887   0.0492103 7.05769e-05
          74   0.0488374   0.0492053 6.98028e-05
          75   0.0498344   0.0492136 6.93744e-05
          76   0.0494985   0.0492174 6.85627e-05
          77   0.0501869     0.04923 6.88186e-05
          78   0.0482519   0.0492174 6.90692e-05
          79   0.0488524   0.0492128 6.83493e-05
          80   0.0500329   0.0492231 6.82593e-05
          81   0.0492898   0.0492239 6.74215e-05
          82   0.0482367   0.0492119 6.76657e-05
          83   0.0498339   0.0492194 6.72643e-05
          84   0.0495415   0.0492232 6.65728e-05
          85   0.0500669   0.0492331 6.65254e-05
          86   0.0495387   0.0492367 6.58467e-05
          87   0.0500028   0.0492455  6.5676e-05
          88   0.0497609   0.0492513 6.51904e-05
          89   0.0500497   0.0492603 6.50722e-05
          90   0.0485881   0.0492528 6.47763e-05
          91   0.0496797   0.0492575 6.42341e-05
          92   0.0502299   0.0492681 6.43996e-05
          93   0.0483687   0.0492584 6.44291e-05
          94   0.0486051   0.0492515 6.41174e-05
          95   0.0490378   0.0492492 6.34819e-05
          96   0.0495283   0.0492521 6.28872e-05
          97   0.0489305   0.0492488 6.23262e-05
          98   0.0496011   0.0492524 6.17937e-05
          99   0.0487095   0.0492469 6.14124e-05
         100   0.0485548     0.04924 6.11871e-05
