#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0561083   0.0561083           0
           2   0.0497196    0.052914  0.00225877
           3    0.040718   0.0488486  0.00364492
           4   0.0386179    0.046291  0.00351843
           5   0.0521757   0.0474679  0.00300516
           6   0.0399305   0.0462117  0.00275438
           7   0.0439864   0.0458938  0.00237917
           8   0.0496459   0.0463628  0.00212751
           9   0.0565561   0.0474954  0.00217176
          10   0.0555589   0.0483017  0.00209895
          11   0.0482334   0.0482955  0.00190815
          12   0.0475499   0.0482334  0.00175014
          13   0.0383254   0.0474712  0.00177372
          14   0.0407463   0.0469909  0.00171084
          15    0.038691   0.0464376  0.00168388
          16   0.0398057   0.0460231  0.00162886
          17   0.0461313   0.0460294  0.00153305
          18   0.0461152   0.0460342  0.00144789
          19    0.041458   0.0457933  0.00139157
          20    0.040458   0.0455266  0.00134732
          21   0.0591138   0.0461736   0.0014301
          22   0.0446675   0.0461051  0.00136674
          23   0.0524791   0.0463823  0.00133511
          24   0.0458838   0.0463615  0.00127965
          25   0.0542272   0.0466761  0.00126655
          26   0.0552707   0.0470067  0.00126023
          27   0.0529134   0.0472254   0.0012324
          28   0.0668173   0.0479252  0.00137272
          29   0.0580947   0.0482758  0.00136945
          30   0.0451649   0.0481721  0.00132772
          31   0.0433379   0.0480162  0.00129401
          32   0.0447925   0.0479155  0.00125749
          33   0.0496303   0.0479674  0.00122046
          34   0.0479493   0.0479669  0.00118456
          35   0.0555047   0.0481822  0.00117013
          36   0.0635734   0.0486098  0.00121322
          37   0.0539724   0.0487547  0.00118906
          38   0.0509192   0.0488117  0.00115913
          39   0.0415677   0.0486259  0.00114419
          40   0.0390877   0.0483875  0.00114017
          41   0.0441217   0.0482834  0.00111709
          42   0.0475125   0.0482651  0.00109065
          43   0.0447344    0.048183  0.00106837
          44   0.0510432    0.048248  0.00104606
          45   0.0442816   0.0481598  0.00102653
          46   0.0456268   0.0481048  0.00100569
          47   0.0527471   0.0482035 0.000989127
          48   0.0594194   0.0484372 0.000995738
          49   0.0591985   0.0486568 0.000999342
          50   0.0514512   0.0487127 0.000980917
          51   0.0454299   0.0486483 0.000963793
          52   0.0443196   0.0485651 0.000948847
          53   0.0483439   0.0485609 0.000930953
          54   0.0416732   0.0484334  0.00092241
          55   0.0621872   0.0486834 0.000938925
          56   0.0584249   0.0488574 0.000938134
          57   0.0538496    0.048945 0.000925755
          58   0.0436687    0.048854 0.000914252
          59   0.0474474   0.0488302 0.000899067
          60   0.0410547   0.0487006 0.000893373
          61   0.0389677    0.048541 0.000892862
          62   0.0517471   0.0485927 0.000879958
          63   0.0503662   0.0486209  0.00086644
          64   0.0520561   0.0486746 0.000854563
          65   0.0466933   0.0486441 0.000841959
          66   0.0489889   0.0486493 0.000829219
          67   0.0461747   0.0486124 0.000817664
          68   0.0547288   0.0487023 0.000810572
          69   0.0426804    0.048615 0.000803509
          70   0.0568255   0.0487323 0.000800546
          71   0.0676848   0.0489993 0.000832586
          72   0.0410273   0.0488885 0.000828352
          73   0.0445957   0.0488297 0.000819089
          74   0.0664294   0.0490676 0.000841841
          75    0.077176   0.0494424 0.000910226
          76   0.0535695   0.0494967 0.000899868
          77     0.05343   0.0495477  0.00088963
          78   0.0583561   0.0496607 0.000885363
          79   0.0653822   0.0498597 0.000896242
          80   0.0768174   0.0501966 0.000946269
          81   0.0770934   0.0505287 0.000991137
          82   0.0576115   0.0506151 0.000982807
          83   0.0477705   0.0505808 0.000971563
          84   0.0540416    0.050622  0.00096087
          85   0.0401812   0.0504992 0.000957385
          86   0.0657498   0.0506765 0.000962536
          87   0.0555307   0.0507323 0.000953088
          88    0.054414   0.0507741 0.000943175
          89   0.0460134   0.0507206 0.000934093
          90   0.0392004   0.0505926 0.000932444
          91   0.0369456   0.0504427 0.000934179
          92    0.047488   0.0504106 0.000924577
          93   0.0384516    0.050282 0.000923534
          94   0.0538597     0.05032 0.000914493
          95    0.054031   0.0503591 0.000905701
          96   0.0519967   0.0503762 0.000896427
          97   0.0457751   0.0503287  0.00088844
          98   0.0424392   0.0502482 0.000883014
          99   0.0425864   0.0501708 0.000877479
         100   0.0410725   0.0500798 0.000873409
         101   0.0457866   0.0500373 0.000865795
         102   0.0385328   0.0499245 0.000864622
         103   0.0362667   0.0497919 0.000866336
         104    0.044082    0.049737 0.000859744
         105   0.0400891   0.0496452 0.000856452
         106   0.0473926   0.0496239 0.000848636
         107   0.0491097   0.0496191 0.000840718
         108   0.0372614   0.0495047 0.000840684
         109   0.0452074   0.0494653 0.000833895
         110   0.0366738    0.049349 0.000834383
         111   0.0429043   0.0492909 0.000828884
         112    0.056904   0.0493589 0.000824266
         113   0.0518251   0.0493807  0.00081726
         114   0.0528239   0.0494109 0.000810649
         115   0.0508932   0.0494238 0.000803702
         116   0.0561823   0.0494821 0.000798883
         117   0.0465044   0.0494566  0.00079246
         118   0.0697215   0.0496283 0.000804138
         119   0.0490559   0.0496235 0.000797395
         120   0.0482005   0.0496117 0.000790838
         121   0.0408322   0.0495391 0.000787624
         122   0.0506744   0.0495484 0.000781223
         123   0.0372455   0.0494484 0.000781248
         124    0.037203   0.0493496 0.000781164
         125   0.0426298   0.0492959 0.000776763
         126   0.0420702   0.0492385 0.000772712
         127   0.0517969   0.0492587  0.00076689
         128   0.0489949   0.0492566 0.000760902
         129   0.0403387   0.0491875 0.000758137
         130   0.0452033   0.0491568 0.000752925
         131   0.0474982   0.0491442 0.000747283
         132   0.0365613   0.0490489 0.000747677
         133   0.0584424   0.0491195 0.000745384
         134   0.0624887   0.0492193 0.000746469
         135     0.05601   0.0492696 0.000742632
         136   0.0599138   0.0493478 0.000741285
         137   0.0487565   0.0493435 0.000735886
         138     0.04594   0.0493188 0.000730967
         139   0.0374725   0.0492336  0.00073066
         140   0.0457383   0.0492087 0.000725867
         141    0.052709   0.0492335 0.000721144
         142   0.0493861   0.0492346 0.000716066
         143   0.0405636   0.0491739 0.000713621
         144   0.0449005   0.0491442 0.000709282
         145   0.0532979   0.0491729 0.000704969
         146   0.0412936   0.0491189 0.000702203
         147   0.0461458   0.0490987 0.000697717
         148   0.0432686   0.0490593 0.000694114
         149   0.0408913   0.0490045 0.000691617
         150   0.0495433   0.0490081 0.000687015
         151   0.0557933    0.049053 0.000683934
         152    0.046902   0.0490389 0.000679581
         153   0.0590375   0.0491042 0.000678274
         154   0.0763297    0.049281 0.000696528
         155   0.0597508   0.0493485 0.000695302
         156   0.0488613   0.0493454 0.000690852
         157   0.0523761   0.0493647 0.000686721
         158   0.0590099   0.0494258 0.000685083
         159   0.0518842   0.0494412 0.000680948
         160   0.0423477   0.0493969 0.000678134
         161   0.0369135   0.0493194  0.00067834
