#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0473974   0.0473974           0
           2   0.0504104   0.0489039  0.00106525
           3   0.0555958   0.0511346  0.00195486
           4   0.0625092   0.0539782  0.00286608
           5   0.0458718   0.0523569  0.00271295
           6   0.0386472    0.050072  0.00307605
           7   0.0621565   0.0517983  0.00308323
           8   0.0425898   0.0506473  0.00290475
           9   0.0561007   0.0512532  0.00264445
          10   0.0504237   0.0511703   0.0023813
          11   0.0505641   0.0511152  0.00216546
          12   0.0396319   0.0501582  0.00218624
          13   0.0470573   0.0499197  0.00203104
          14   0.0404643   0.0492443   0.0019951
          15   0.0427719   0.0488128  0.00190819
          16   0.0423927   0.0484116  0.00183063
          17   0.0458275   0.0482596  0.00172924
          18   0.0486223   0.0482797  0.00163329
          19   0.0517431    0.048462  0.00155747
          20   0.0508855   0.0485832   0.0014843
          21    0.049058   0.0486058  0.00141379
          22   0.0458289   0.0484796  0.00135515
          23   0.0550487   0.0487652  0.00132599
          24   0.0568904   0.0491037  0.00131325
          25   0.0478879   0.0490551  0.00126162
          26   0.0444666   0.0488786  0.00122537
          27   0.0507301   0.0489472  0.00118191
          28   0.0580867   0.0492736  0.00118391
          29   0.0423108   0.0490335  0.00116718
          30   0.0529581   0.0491643  0.00113558
          31   0.0450088   0.0490303  0.00110683
          32   0.0500508   0.0490622   0.0010727
          33    0.053715   0.0492032  0.00104942
          34   0.0441901   0.0490557  0.00102886
          35   0.0483557   0.0490357 0.000999661
          36   0.0609619    0.049367  0.00102532
          37    0.047767   0.0493238 0.000998518
          38   0.0498859   0.0493385  0.00097235
          39   0.0558006   0.0495042 0.000961432
          40   0.0422446   0.0493227 0.000954373
          41   0.0414287   0.0491302 0.000950319
          42   0.0463222   0.0490634 0.000930041
          43   0.0486969   0.0490548 0.000908451
          44   0.0490262   0.0490542 0.000887805
          45   0.0618139   0.0493377 0.000912233
          46   0.0449449   0.0492422 0.000897386
          47   0.0506103   0.0492713 0.000878765
          48    0.047087   0.0492258 0.000861635
          49   0.0471128   0.0491827 0.000845129
          50   0.0434706   0.0490685 0.000835912
          51   0.0451872   0.0489924 0.000822979
          52   0.0600664   0.0492053 0.000834251
          53   0.0462913   0.0491503 0.000820321
          54   0.0406098   0.0489922 0.000820234
          55   0.0478841    0.048972 0.000805568
          56   0.0488532   0.0489699 0.000791186
          57   0.0600829   0.0491649 0.000800967
          58   0.0468514    0.049125  0.00078815
          59   0.0584545   0.0492831 0.000790495
          60   0.0493269   0.0492839  0.00077732
          61   0.0455279   0.0492223 0.000767012
          62   0.0495253   0.0492272 0.000754657
          63   0.0563851   0.0493408 0.000751182
          64    0.058076   0.0494773 0.000751742
          65   0.0556376    0.049572 0.000746127
          66   0.0551273   0.0496562 0.000739555
          67   0.0428915   0.0495553 0.000735377
          68   0.0602357   0.0497123 0.000741146
          69    0.069645   0.0500012 0.000784686
          70   0.0528214   0.0500415  0.00077451
          71   0.0523894   0.0500746 0.000764307
