#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.63513     1.63513           0
           2     2.07459     1.85486    0.155374
           3     2.09503     1.93492    0.122483
           4     1.95558     1.94008   0.0919714
           5      1.9187      1.9358   0.0736765
           6     2.05505     1.95568   0.0640214
           7     2.28927     2.00333   0.0704129
           8     2.04396     2.00841   0.0617941
           9     2.12084      2.0209   0.0561766
          10     1.90795     2.00961    0.051682
          11     1.80638     1.99113   0.0501773
          12     2.06775     1.99752   0.0464002
          13     2.13363     2.00799   0.0439964
          14     2.16716     2.01936   0.0422973
          15     2.06101     2.02213   0.0395685
          16     2.16105     2.03082   0.0380361
          17     1.97512     2.02754   0.0359395
          18     1.87122     2.01886   0.0349763
          19     2.06973     2.02153   0.0332378
          20     2.24805     2.03286     0.03345
          21     2.16992     2.03939   0.0324876
          22     2.28599      2.0506   0.0328878
          23     1.98736     2.04785   0.0315726
          24     2.08649     2.04946   0.0302981
          25     2.14758     2.05338   0.0293393
          26     2.00018     2.05134   0.0282821
          27     2.07804     2.05232   0.0272519
          28     2.16635      2.0564   0.0265812
          29     1.95226     2.05281    0.025906
          30     2.19982     2.05771   0.0255017
          31     2.22827     2.06321   0.0252657
          32     2.02407     2.06199   0.0245057
          33     1.94156     2.05834   0.0240333
          34     2.07895     2.05894   0.0233341
          35     1.91045      2.0547   0.0230498
          36     2.17877     2.05815   0.0226658
          37     2.15857     2.06086   0.0222151
          38     2.04563     2.06046   0.0216341
          39     2.07011     2.06071   0.0210808
          40      2.2003      2.0642   0.0208406
          41     2.17847     2.06698   0.0205179
          42     2.08633     2.06744   0.0200345
          43     2.37662     2.07463   0.0208189
          44      2.1787       2.077   0.0204796
          45     1.97045     2.07463   0.0201609
          46     2.06274     2.07437   0.0197243
          47      2.0152     2.07311   0.0193448
          48     2.19849     2.07573   0.0191173
          49       2.044     2.07508   0.0187381
          50     1.93784     2.07233   0.0185633
          51     1.97042     2.07034   0.0183065
          52     1.97131     2.06843   0.0180533
          53     2.17797      2.0705   0.0178305
          54      1.9859     2.06893    0.017569
          55     1.91566     2.06615   0.0174692
          56       2.006     2.06507   0.0171902
          57      1.8736     2.06171   0.0172137
          58     2.06657      2.0618   0.0169171
          59     1.98037     2.06042   0.0166866
          60     1.80221     2.05611   0.0169543
          61     2.23838      2.0591   0.0169376
          62     2.08388      2.0595   0.0166692
          63     2.09208     2.06002   0.0164126
          64     2.05986     2.06001   0.0161562
          65     2.20972     2.06232   0.0160709
          66     1.92948     2.06031    0.015953
          67     2.20876     2.06252    0.015868
          68      2.0994     2.06306   0.0156439
          69     2.09393     2.06351   0.0154236
          70     2.02852     2.06301   0.0152113
          71     1.89977     2.06071   0.0151698
          72     1.96817     2.05943   0.0150135
          73     1.99036     2.05848   0.0148376
          74      2.1432     2.05963   0.0146812
          75     2.43547     2.06464   0.0153169
          76     2.12861     2.06548   0.0151384
          77     1.95605     2.06406   0.0150084
          78      1.8397     2.06118   0.0150891
          79     1.84911      2.0585    0.015135
          80      2.0737     2.05869    0.014947
          81     2.07344     2.05887   0.0147636
          82     1.87436     2.05662    0.014754
          83     2.16371     2.05791   0.0146326
          84     2.60709     2.06445   0.0158518
          85     1.98496     2.06351   0.0156928
          86     2.07453     2.06364   0.0155109
          87     1.90306     2.06179    0.015442
          88      2.1256     2.06252   0.0152836
          89     2.49323     2.06736   0.0158595
          90     2.41001     2.07117   0.0161338
          91     2.14414     2.07197   0.0159764
          92     1.92643     2.07039   0.0158809
          93     2.13931     2.07113   0.0157274
          94     2.07942     2.07121   0.0155604
          95     1.88144     2.06922   0.0155243
          96     2.35363     2.07218   0.0156427
          97     2.09439     2.07241   0.0154831
          98      2.1519     2.07322   0.0153463
          99     2.26305     2.07514   0.0153106
         100     2.03204     2.07471   0.0151636
