#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.11721     2.11721           0
           2     2.00712     2.06216    0.038923
           3     1.69028      1.9382    0.104486
           4     1.25251     1.76678    0.167871
           5      1.7262     1.75866    0.134493
           6       1.631     1.73738    0.113748
           7     1.75277     1.73958   0.0975193
           8     1.78196     1.74488   0.0854732
           9     1.69158     1.73896   0.0761811
          10     1.74213     1.73928   0.0685636
          11     2.00869     1.76377   0.0665614
          12     1.98872     1.78251   0.0635996
          13     1.41332     1.75411   0.0647383
          14     1.50398     1.73625   0.0625311
          15     1.46094     1.71789   0.0609965
          16     1.37139     1.69624   0.0609074
          17     1.75081     1.69945   0.0574092
          18     1.88857     1.70995   0.0551729
          19     2.07337     1.72908   0.0554856
          20     2.20138      1.7527   0.0575176
          21     1.92382     1.76084   0.0553529
          22       2.321     1.78631   0.0583999
          23     2.06308     1.79834   0.0570871
          24     1.97434     1.80567   0.0551775
          25     1.38408     1.78881   0.0554876
          26       1.638     1.78301   0.0536558
          27     1.81318     1.78413   0.0516802
          28     1.66496     1.77987   0.0500094
          29     1.43113     1.76784   0.0497098
          30     1.58369     1.76171   0.0484303
          31     1.40339     1.75015   0.0482276
          32     1.50129     1.74237   0.0473434
          33     1.93286     1.74814   0.0462593
          34       2.065     1.75746   0.0458279
          35     1.93519     1.76254    0.044799
          36     1.50092     1.75527     0.04414
          37     1.65473     1.75256   0.0430306
          38     1.85666      1.7553   0.0419854
          39     1.64166     1.75238   0.0410098
          40     1.90677     1.75624   0.0401658
          41     2.27047     1.76878   0.0410977
          42     2.03505     1.77512   0.0406052
          43     1.95556     1.77932   0.0398772
          44     2.29411     1.79102    0.040651
          45     2.11072     1.79812   0.0403637
          46      2.0157     1.80285   0.0397624
          47     1.44209     1.79518   0.0396503
          48     1.66814     1.79253   0.0389125
          49     1.81371     1.79296   0.0381207
          50     1.12717     1.77965   0.0396158
          51     1.07907     1.76591   0.0411518
          52     1.20537     1.75513   0.0417484
          53     1.26481     1.74588   0.0419732
          54     1.12426     1.73437   0.0427454
          55       1.134     1.72345   0.0433395
          56     1.26642     1.71529   0.0433273
          57     1.61005     1.71345   0.0426064
          58     1.46616     1.70918   0.0420846
          59     1.84529     1.71149   0.0414345
          60     1.45735     1.70725   0.0409599
          61     1.43648     1.70281   0.0405282
          62     1.65077     1.70197   0.0398832
          63     1.83629     1.70411   0.0393071
          64     1.81462     1.70583   0.0387308
          65     1.46691     1.70216    0.038309
          66     1.52207     1.69943   0.0378256
          67     2.01523     1.70414   0.0375536
          68     2.00768     1.70861   0.0372657
          69     2.34454     1.71782   0.0378481
          70     2.24997     1.72542   0.0380633
          71     2.21644     1.73234   0.0381502
          72     2.28222     1.73998   0.0383772
          73     2.21539     1.74649   0.0384001
          74     1.96878     1.74949   0.0379985
          75     1.95374     1.75222   0.0375893
          76     2.25352     1.75881    0.037669
          77       2.219     1.76479   0.0376509
          78     2.26284     1.77118   0.0377058
          79     1.97436     1.77375   0.0373161
          80      2.1422     1.77835   0.0371328
          81     1.40833     1.77378   0.0369543
          82     1.60112     1.77168   0.0365635
          83       1.373     1.76688   0.0364372
          84     1.91286     1.76861   0.0360448
          85     1.81128     1.76912   0.0356243
