#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -4.19645    -4.19645           0
           2    -3.52345    -3.85995    0.237939
           3    -3.03937    -3.58642    0.273934
           4    -2.56587    -3.33128    0.301714
           5    -2.02408    -3.06984    0.336068
           6    -1.73808    -2.84788    0.345669
           7    -1.73283    -2.68859    0.330962
           8    -1.83505     -2.5819    0.306306
           9    -1.68919    -2.48271    0.287885
          10    -1.70216    -2.40465     0.26947
          11    -1.76774    -2.34675    0.251117
          12    -1.14554    -2.24665    0.249344
          13   -0.735443     -2.1304    0.255831
          14   -0.535557    -2.01649    0.261694
          15   -0.254456    -1.89902    0.269325
          16   -0.364966    -1.80314    0.269017
          17   -0.138699    -1.70523    0.270423
          18  -0.0186814    -1.61153    0.271146
          19    0.156164     -1.5185     0.27237
          20     0.15424    -1.43486    0.271289
          21    0.132598    -1.36022    0.268442
          22 -0.00252702    -1.29851    0.263238
          23     0.00395    -1.24188    0.257812
          24    0.104789    -1.18577    0.253103
          25  -0.0168425    -1.13901     0.24726
          26   -0.172884    -1.10185    0.240526
          27     0.30115    -1.04989    0.237164
          28    0.647277   -0.989275    0.236312
          29     0.12373   -0.950896    0.231259
          30   -0.386627   -0.932087    0.224314
          31   0.0944796   -0.898972    0.219509
          32    0.303582   -0.861392    0.215842
          33    0.319797   -0.825598    0.212249
          34    0.411458   -0.789214    0.209101
          35  -0.0815958   -0.768996    0.204102
          36    0.387289   -0.736877    0.200944
          37   -0.387917   -0.727446    0.195734
          38  -0.0938319   -0.710772    0.191292
          39   0.0227889   -0.691963     0.18731
          40    0.157617   -0.670723    0.183827
          41    0.274332   -0.647673    0.180783
          42  -0.00004.35113   -0.632253    0.177135
          43  0.00369917   -0.617464    0.173632
          44   0.0452349   -0.602402    0.170338
          45    0.383412   -0.580495    0.167955
          46    0.586562   -0.555125    0.166209
          47    0.763356   -0.527072    0.165023
          48    0.847214   -0.498441     0.16405
          49    0.862952   -0.470657    0.163038
          50    0.667682   -0.447891    0.161359
          51    0.500177   -0.429301    0.159262
          52    0.510942   -0.411219    0.157223
          53     0.59786    -0.39218    0.155405
          54    0.866365   -0.368874    0.154265
          55     1.09846   -0.342195    0.153749
          56     1.41071   -0.310893    0.154157
          57     1.06738   -0.286713    0.153337
          58     1.12869   -0.262309    0.152623
          59     1.13051   -0.238702    0.151851
          60     1.24465    -0.21398    0.151319
          61     1.49072   -0.186034    0.151397
          62     1.95629    -0.15148    0.152848
          63     1.73596   -0.121521     0.15333
          64     1.57166  -0.0950649    0.153199
          65     1.68477  -0.0676828     0.15327
          66     1.71757  -0.0406335    0.153316
          67     1.83573  -0.0126281    0.153564
          68     1.91391   0.0157034    0.153897
          69     1.49524    0.037146    0.153153
          70     1.34158   0.0557807    0.152095
          71     1.11831    0.070746    0.150687
          72     1.20994   0.0865681    0.149422
          73     1.24527    0.102441    0.148216
          74     1.43468    0.120444    0.147303
          75     1.28576    0.135981    0.146156
          76     1.39186    0.152506    0.145164
          77     1.53452    0.170454    0.144384
          78     1.44067    0.186739    0.143448
          79     1.37237    0.201747    0.142415
          80     1.32394    0.215775    0.141324
          81     1.34209     0.22968    0.140262
          82     1.51997    0.245415    0.139431
          83     1.82455    0.264441    0.139043
          84     1.90114    0.283925    0.138747
          85     1.69895    0.300573    0.138109
          86     1.98813    0.320196     0.13789
          87     1.79194    0.337112    0.137339
          88     1.56742    0.351093    0.136488
          89      1.7653    0.366983    0.135877
          90     1.87459    0.383734    0.135395
          91     1.26395    0.393407    0.134253
          92     1.12138     0.40132    0.133026
          93     1.92617    0.417716    0.132603
          94      2.0884    0.435489    0.132378
          95     2.01107    0.452074    0.132019
          96     1.64139    0.464463    0.131224
          97     1.97871    0.480074    0.130796
          98     1.91709    0.494737    0.130281
          99     1.80363    0.507958    0.129634
         100     1.68361    0.519715     0.12887
         101     1.35214    0.527957    0.127857
         102     1.62445    0.538706    0.127055
         103     1.40634     0.54713      0.1261
         104     1.50766    0.556366    0.125225
         105     1.42499    0.564639    0.124306
         106     1.35143    0.572061    0.123354
         107     1.41109    0.579902    0.122451
         108     1.74774    0.590716    0.121793
         109     1.57495    0.599745     0.12101
         110     1.55463    0.608426    0.120221
         111     1.63996    0.617719    0.119497
         112     1.94453    0.629566    0.119015
         113     2.19764    0.643443    0.118768
         114     2.22119    0.657283     0.11853
         115     2.34294    0.671941    0.118402
         116     2.27375    0.685749    0.118184
         117     3.01555    0.705662     0.11884
         118     2.16632     0.71804    0.118476
         119     1.50145    0.724624    0.117663
         120     1.47865    0.730907     0.11685
         121     1.75925    0.739406    0.116193
         122     1.56427    0.746167    0.115437
         123     1.79683    0.754709    0.114814
         124     1.79314    0.763084    0.114193
         125     2.27639     0.77519     0.11392
         126     2.65077    0.790076    0.113984
         127      2.6639     0.80483    0.114037
         128       2.859    0.820878     0.11427
         129     2.90797    0.837057    0.114524
         130     2.73436    0.851652    0.114569
         131     2.73779     0.86605    0.114596
         132     2.82547    0.880894    0.114685
         133     3.05037    0.897206    0.114977
         134     3.01012    0.912974    0.115195
         135     2.80574    0.926994    0.115192
         136     2.93837    0.941784     0.11529
         137     2.88557    0.955972    0.115318
         138     2.47951    0.967012     0.11501
         139     2.15429    0.975554    0.114499
         140     2.34993    0.985371    0.114101
         141     1.95176    0.992225    0.113498
         142     1.93402    0.998857    0.112892
         143     1.97555     1.00569    0.112309
         144     2.10624     1.01333    0.111789
         145     2.03581     1.02038     0.11124
         146     2.15379     1.02814    0.110749
         147     1.77515     1.03323    0.110112
         148      1.7097      1.0378    0.109463
         149     1.77357     1.04273    0.108839
         150     2.05776      1.0495    0.108324
         151     1.62167     1.05329    0.107673
         152     1.90119     1.05887    0.107109
         153     2.05771      1.0654    0.106608
         154      2.2571     1.07314    0.106196
         155      2.1458     1.08006    0.105736
         156     2.36679      1.0883    0.105379
         157     2.49875     1.09729     0.10509
         158     1.98697     1.10292    0.104576
         159     2.32933     1.11063    0.104202
         160     2.89326     1.12177    0.104145
         161     2.89586     1.13279     0.10408
         162     2.63017     1.14204    0.103847
         163     2.65309     1.15131    0.103623
         164     2.40357     1.15894    0.103272
         165     2.58838     1.16761    0.103008
         166     2.31401     1.17451    0.102619
         167     2.56771     1.18285    0.102343
         168     2.55532     1.19102     0.10206
         169     2.42721     1.19834    0.101717
         170     3.10067     1.20953    0.101733
         171     2.99015     1.21994    0.101669
         172      2.8504     1.22942    0.101519
         173     2.56921     1.23717    0.101227
         174     2.44229     1.24409    0.100882
         175     2.39787     1.25068    0.100521
         176     3.18857     1.26169    0.100551
         177     3.26179     1.27299    0.100616
         178     3.12575      1.2834    0.100588
         179     2.99058     1.29294    0.100477
         180     2.85028     1.30159     0.10029
         181     2.61657     1.30886   0.0999992
         182     2.36117     1.31464   0.0996167
         183      2.6466     1.32192   0.0993379
         184     2.45886      1.3281     0.09899
         185     2.51837     1.33453   0.0986638
         186     2.36256     1.34006   0.0982881
         187     2.13605     1.34431   0.0978546
         188     2.38305     1.34984   0.0974899
         189     2.21044     1.35439   0.0970804
         190     1.94697     1.35751   0.0966195
         191     1.87897     1.36024   0.0961522
         192     1.74513     1.36225   0.0956723
         193      2.0563     1.36584   0.0952442
         194     2.04414     1.36934   0.0948174
         195      2.1474     1.37333   0.0944151
         196     2.21025      1.3776   0.0940299
         197     2.23818     1.38197    0.093654
         198     2.12747     1.38573   0.0932566
         199     2.30397     1.39035   0.0929021
         200     2.23289     1.39456    0.092533
         201     1.76356      1.3964   0.0920909
         202     1.86138      1.3987   0.0916638
         203     1.55548     1.39947   0.0912155
         204     2.08521     1.40283   0.0908302
         205     2.17456      1.4066   0.0904651
         206     2.20814     1.41049   0.0901096
         207     1.99495     1.41331   0.0897185
         208     2.36068     1.41787   0.0894027
         209     2.36162     1.42238   0.0890889
         210     2.32117     1.42666   0.0887675
         211     2.35456     1.43106   0.0884556
         212     2.18784     1.43463   0.0881104
         213     2.58632     1.44004   0.0878625
         214     2.42508     1.44464   0.0875724
         215     2.38661     1.44902   0.0872746
         216     2.57567     1.45424   0.0870263
         217     2.33025     1.45827   0.0867188
         218     1.97574     1.46065   0.0863535
         219     1.91092      1.4627   0.0859837
         220     1.85072     1.46447   0.0856109
         221     1.62898     1.46521   0.0852268
         222     1.34315     1.46466   0.0848446
         223     1.53168     1.46496   0.0844647
         224     1.99636     1.46733   0.0841209
         225     1.92452     1.46937   0.0837716
         226     2.07727     1.47206   0.0834441
         227     1.92325     1.47404   0.0831002
         228     2.05785      1.4766   0.0827752
         229     1.67154     1.47745   0.0824181
         230     1.95901     1.47955   0.0820863
         231     2.24102     1.48284   0.0817971
         232     1.69328     1.48375   0.0814496
         233     1.86853      1.4854   0.0811168
         234     1.91049     1.48722   0.0807904
         235     2.12636     1.48994   0.0804924
         236     1.87405     1.49157   0.0801678
         237     1.72867     1.49257   0.0798358
         238     1.90774     1.49431   0.0795194
         239      2.0887      1.4968   0.0792256
         240     2.24325     1.49991   0.0789565
         241     1.81545     1.50122   0.0786397
         242     2.15389     1.50392    0.078361
         243     2.16509     1.50664   0.0780857
         244     2.13625     1.50922   0.0778083
         245     2.02711     1.51133   0.0775195
         246     1.58891     1.51165    0.077205
         247     2.29765     1.51483    0.076958
