#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.33674     9.33674           0
           2     9.60356     9.47015    0.094332
           3     9.31811     9.41947   0.0752808
           4     9.30833     9.39168   0.0613746
           5     9.52891     9.41913   0.0548941
           6     9.44993     9.42426   0.0459845
           7     9.56596      9.4445   0.0436436
           8     9.50705     9.45232   0.0388821
           9     9.50944     9.45867   0.0350759
          10       9.271      9.4399   0.0362426
          11     9.40445     9.43668   0.0330909
          12     9.54739      9.4459   0.0315932
          13     9.57397     9.45576   0.0306604
          14     9.50758     9.45946    0.028693
          15     9.42738     9.45732   0.0268597
          16     9.34225     9.45013   0.0261261
          17     9.69857     9.46474    0.028384
          18     9.66455     9.47584   0.0288963
          19     9.41669     9.47273   0.0275426
          20     9.28577     9.46338   0.0277064
          21     9.44716     9.46261   0.0263978
          22     9.57549     9.46774   0.0256918
          23     9.54069     9.47091   0.0247697
          24     9.38914      9.4675   0.0239709
          25     9.50831     9.46914   0.0230675
          26     9.32253      9.4635   0.0228591
          27      9.3891     9.46074   0.0221779
          28     9.48066     9.46145   0.0213973
          29     9.70308     9.46978   0.0222225
          30     9.36386     9.46625   0.0217604
          31     9.56563     9.46946   0.0212933
          32      9.5476      9.4719   0.0207674
          33     9.73952     9.48001   0.0216638
          34      9.5003     9.48061   0.0210348
          35     9.36215     9.47722   0.0207043
          36     9.37959     9.47451   0.0203061
          37     9.47138     9.47443   0.0197574
          38     9.43351     9.47335   0.0192668
          39     9.49861       9.474   0.0187837
          40      9.5404     9.47566   0.0183873
          41      9.5031     9.47633    0.017951
          42     9.53376      9.4777   0.0175756
          43     9.75375     9.48411   0.0183018
          44     9.51401     9.48479   0.0178985
          45     9.52021     9.48558    0.017518
          46     9.48751     9.48562   0.0171373
          47     9.44617     9.48478   0.0167932
          48     9.48149     9.48471   0.0164435
          49     9.40772     9.48314   0.0161828
          50     9.48516     9.48318   0.0158592
          51     9.34615      9.4805   0.0157742
          52     9.29255     9.47688   0.0158795
          53     9.65137     9.48017   0.0159175
          54      9.4542     9.47969     0.01563
          55     9.29487     9.47633   0.0157029
          56     9.37126     9.47446   0.0155342
          57      9.3851     9.47289   0.0153406
          58     9.45568     9.47259    0.015079
          59     9.68543      9.4762   0.0152488
          60     9.59608      9.4782    0.015125
          61     9.55883     9.47952   0.0149347
          62     9.58079     9.48115   0.0147829
          63      9.4037     9.47992   0.0145993
          64     9.47541     9.47985   0.0143713
          65     9.27836     9.47675   0.0144807
          66     9.47285     9.47669   0.0142614
          67     9.65822      9.4794   0.0143036
          68     9.35953     9.47764   0.0142014
          69     9.37909     9.47621   0.0140673
          70     9.17028     9.47184   0.0145294
          71     9.32805     9.46982   0.0144652
          72     9.62493     9.47197   0.0144238
          73     9.64127     9.47429   0.0144115
          74     9.53976     9.47518   0.0142438
          75      9.5215     9.47579   0.0140673
          76     9.36121     9.47429   0.0139628
          77     9.47844     9.47434   0.0137815
          78     9.33188     9.47251   0.0137253
          79     9.47038     9.47249   0.0135516
          80      9.5431     9.47337    0.013411
          81     9.63884     9.47541   0.0134001
          82     9.38565     9.47432   0.0132813
          83     9.74111     9.47753   0.0135047
          84     9.79876     9.48136   0.0138748
          85     9.35665     9.47989   0.0137889
          86     9.38579     9.47879   0.0136719
          87     9.80372     9.48253   0.0140156
          88     9.60302      9.4839   0.0139231
          89     9.46262     9.48366   0.0137687
          90     9.46033      9.4834   0.0136181
          91      9.3053     9.48144   0.0136084
          92     9.46551     9.48127   0.0134616
          93     9.56323     9.48215   0.0133456
          94     9.59889     9.48339   0.0132613
          95     9.52214      9.4838    0.013128
          96     9.57409     9.48474   0.0130249
          97     9.61682      9.4861   0.0129616
          98     9.41852     9.48541   0.0128477
          99      9.4945      9.4855   0.0127182
         100     9.56341     9.48628   0.0126149
