#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0445845   0.0445845           0
           2   0.0507757   0.0476801  0.00218891
           3   0.0565233   0.0506278  0.00281465
           4   0.0611438   0.0532568  0.00310483
           5   0.0521621   0.0530379  0.00249157
           6   0.0604866   0.0542793  0.00236546
           7   0.0535198   0.0541708  0.00203003
           8   0.0472023   0.0532998  0.00195424
           9    0.049846    0.052916  0.00177438
          10   0.0541206   0.0530365  0.00160103
          11   0.0476547   0.0525472  0.00152841
          12   0.0540221   0.0526701  0.00140597
          13   0.0617927   0.0533719  0.00146249
          14   0.0495815   0.0531011  0.00138286
          15   0.0534862   0.0531268  0.00129091
          16   0.0465257   0.0527142  0.00127445
          17   0.0556927   0.0528894  0.00121147
          18   0.0501519   0.0527374  0.00115367
          19   0.0469051   0.0524304  0.00113305
          20   0.0499417    0.052306  0.00108321
          21   0.0501884   0.0522051  0.00103631
          22   0.0513349   0.0521656 0.000989961
          23   0.0485193    0.052007 0.000959528
          24   0.0594713   0.0523181 0.000968641
          25   0.0502287   0.0522345 0.000933494
          26   0.0476443   0.0520579 0.000914132
          27   0.0430387   0.0517239 0.000939328
          28   0.0542799   0.0518152 0.000910206
          29   0.0507447   0.0517783 0.000879568
          30   0.0542545   0.0518608 0.000854113
          31   0.0492571   0.0517768  0.00083068
          32   0.0466611   0.0516169  0.00081996
          33   0.0386238   0.0512232 0.000884609
          34   0.0424557   0.0509653 0.000895387
          35   0.0475539   0.0508679 0.000875094
          36    0.060194   0.0511269 0.000888304
          37   0.0500225   0.0510971 0.000864797
          38   0.0513395   0.0511035 0.000842063
          39    0.052108   0.0511292 0.000820865
          40   0.0435967   0.0509409  0.00082166
          41   0.0516325   0.0509578 0.000801792
          42   0.0568083   0.0510971  0.00079471
          43   0.0465566   0.0509915 0.000783212
          44   0.0419883   0.0507869 0.000791689
          45    0.049203   0.0507517 0.000774878
          46   0.0510184   0.0507575 0.000758055
          47   0.0548865   0.0508453 0.000746999
          48   0.0597762   0.0510314 0.000754252
          49   0.0532317   0.0510763 0.000740195
          50   0.0508639    0.051072 0.000725403
          51   0.0526269   0.0511025  0.00071182
          52   0.0612008   0.0512967 0.000724137
          53   0.0456894   0.0511909 0.000718161
          54   0.0563386   0.0512862 0.000711161
          55   0.0484293   0.0512343 0.000700125
          56   0.0498041   0.0512088 0.000688088
          57   0.0608436   0.0513778 0.000696469
          58   0.0495872   0.0513469 0.000685145
          59   0.0577071   0.0514547  0.00068196
          60   0.0523151   0.0514691 0.000670745
          61   0.0536827   0.0515054  0.00066073
          62   0.0439226   0.0513831 0.000661295
          63   0.0474975   0.0513214 0.000653668
          64   0.0509079   0.0513149 0.000643487
          65   0.0535781   0.0513497 0.000634528
          66   0.0553737   0.0514107 0.000627836
          67   0.0513458   0.0514097 0.000618466
          68    0.059523    0.051529 0.000620773
          69   0.0529524   0.0515497 0.000612119
          70   0.0493618   0.0515184 0.000604172
          71   0.0469754   0.0514544 0.000599041
          72    0.066273   0.0516602 0.000625078
          73   0.0532193   0.0516816  0.00061688
          74   0.0477232   0.0516281 0.000610859
          75   0.0509068   0.0516185  0.00060279
          76   0.0619498   0.0517544 0.000609994
          77   0.0505575   0.0517389  0.00060227
          78   0.0546953   0.0517768  0.00059574
          79   0.0551531   0.0518195  0.00058973
          80   0.0561402   0.0518735 0.000584826
          81   0.0464691   0.0518068   0.0005814
          82   0.0564876   0.0518639 0.000577105
          83   0.0585719   0.0519447 0.000575783
          84   0.0538226   0.0519671 0.000569362
          85    0.047691   0.0519168 0.000564882
          86   0.0518523    0.051916 0.000558314
          87    0.061078   0.0520213 0.000561741
          88   0.0599608   0.0521115 0.000562556
          89    0.053079   0.0521224  0.00055634
          90   0.0525894   0.0521276 0.000550183
          91   0.0425722   0.0520226 0.000554066
          92   0.0407125   0.0518997 0.000561517
          93   0.0606718    0.051994 0.000563346
          94   0.0589411   0.0520679 0.000562179
          95   0.0530718   0.0520785 0.000556361
          96    0.064413   0.0522069 0.000565207
          97   0.0564248   0.0522504  0.00056105
          98   0.0534591   0.0522628 0.000555461
          99   0.0449254   0.0521886 0.000554773
         100   0.0479116   0.0521459 0.000550871
