#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     4.31594     4.31594           0
           2     4.96839     4.64217    0.230677
           3     5.80876     5.03103     0.35279
           4     6.25567     5.33719    0.374579
           5     6.93093     5.65594    0.413615
           6     7.38394     5.94394    0.433502
           7     7.47617     6.16283    0.423243
           8     7.49062      6.3288    0.401564
           9     7.43047     6.45121    0.375139
          10     7.64586     6.57068    0.356139
          11     7.60881     6.66505    0.336035
          12     7.87924     6.76623    0.322906
          13      8.1421     6.87207    0.314934
          14     8.54049     6.99124    0.314179
          15     8.08221     7.06397    0.301535
          16      7.9242     7.11774    0.287442
          17     8.20155     7.18149    0.277514
          18     8.34059     7.24589    0.269464
          19     8.79714     7.32753    0.267364
          20     8.57875     7.39009    0.261213
          21     8.47686     7.44184    0.253849
          22     8.38245      7.4846    0.245884
          23     8.20581     7.51595    0.237185
          24     8.12834     7.54147     0.22867
          25     8.35595     7.57405    0.221832
          26     8.27757     7.60111    0.214944
          27     8.63106     7.63925    0.210341
          28     8.69553     7.67698    0.206184
          29     8.69717     7.71216    0.202053
          30     8.79192     7.74815    0.198498
          31     9.32547     7.79903    0.198509
          32     9.31408     7.84638    0.197871
          33     9.27757     7.88975     0.19657
          34      9.1227     7.92601    0.194105
          35     8.78603     7.95058    0.190108
          36     8.76538     7.97321     0.18617
          37      8.2786     7.98147    0.181321
          38      8.6021      7.9978    0.177283
          39     8.40437     8.00823    0.173044
          40     8.52731      8.0212    0.169204
          41     8.84083     8.04119    0.166253
          42     8.57164     8.05382    0.162774
          43     8.64293     8.06752    0.159564
          44     9.01818     8.08913    0.157394
          45     9.14303     8.11255    0.155629
          46     9.53024     8.14337    0.155267
          47      9.4526     8.17122    0.154442
          48     9.79212     8.20499    0.154872
          49      9.4887     8.23119    0.153911
          50     9.41186      8.2548    0.152634
          51     9.20586     8.27345    0.150776
          52      9.3566     8.29428    0.149308
          53     9.54118     8.31781    0.148333
          54     9.76465      8.3446    0.147986
          55     9.83663     8.37173    0.147761
          56     9.84779     8.39809    0.147455
          57      9.5981     8.41914    0.146363
          58     9.67374     8.44077    0.145429
          59     9.20431     8.45371    0.143539
          60     9.51489      8.4714    0.142232
          61     9.69354     8.49143    0.141304
          62     10.1333     8.51792    0.141485
          63     9.83342      8.5388    0.140772
          64     10.0302      8.5621    0.140488
          65     9.93985      8.5833    0.139916
          66     9.91528     8.60348    0.139244
          67     9.65804     8.61922    0.138053
          68     9.73506     8.63563    0.136994
          69     9.64468     8.65025    0.135787
          70     9.82366     8.66701    0.134878
          71     9.67558     8.68122    0.133724
          72     9.68083      8.6951    0.132586
          73     10.1088     8.71447    0.132176
          74     10.5071     8.73869    0.132591
          75     10.1327     8.75728     0.13212
          76     9.90956     8.77244    0.131248
          77     10.0074     8.78848     0.13052
          78      9.6553     8.79959    0.129319
          79     9.63603     8.81018    0.128115
          80     9.80631     8.82263    0.127117
          81     9.71899      8.8337    0.126028
          82     10.0002     8.84792    0.125292
          83     9.79861     8.85938    0.124305
          84     9.90706     8.87185    0.123449
          85     9.72704     8.88191    0.122406
          86     9.82806     8.89291    0.121476
          87     9.81974     8.90357    0.120546
          88      10.064     8.91675    0.119895
          89     9.82427     8.92695    0.118981
          90     9.83595     8.93705    0.118087
          91     9.49695      8.9432    0.116949
          92     9.55066     8.94981    0.115864
          93     9.96453     8.96072    0.115131
          94     10.0733     8.97255    0.114513
          95     10.2866     8.98639     0.11414
          96     9.78436      8.9947    0.113253
          97     9.78074      9.0028    0.112375
          98     9.99635     9.01294    0.111685
          99     10.0174     9.02309    0.111017
         100     10.0021     9.03288    0.110338
         101     9.50467     9.03755    0.109344
         102     9.45784     9.04167     0.10835
         103     9.07218     9.04196    0.107298
         104     9.23044     9.04378    0.106282
         105      9.2484     9.04572    0.105287
         106     9.26346     9.04778    0.104314
         107      9.7133       9.054    0.103524
         108     9.84517     9.06132    0.102825
         109     9.21998     9.06278    0.101892
         110     9.47243      9.0665    0.101033
         111     9.30767     9.06868    0.100147
         112     9.19801     9.06983    0.099259
         113      9.8258     9.07652   0.0986058
         114     9.78672     9.08275   0.0979374
         115     9.87366     9.08963    0.097327
         116     9.39872     9.09229   0.0965244
         117     10.1087     9.10098   0.0960895
         118     9.94031     9.10809   0.0955381
         119     9.55081     9.11181   0.0948077
         120     9.51373     9.11516   0.0940768
         121     9.57787     9.11899    0.093377
         122     9.38819     9.12119   0.0926376
         123     9.49178     9.12421   0.0919335
         124     9.45449     9.12687   0.0912307
         125     9.89773     9.13304    0.090709
         126     10.6113     9.14477   0.0907446
         127     10.2217     9.15325   0.0904254
         128     10.1613     9.16112   0.0900612
         129      10.192     9.16912   0.0897169
         130     10.2241     9.17723   0.0893931
         131     10.4257     9.18676   0.0892173
         132     10.4449     9.19629   0.0890491
         133     10.5644     9.20658   0.0889717
         134     10.2118     9.21408   0.0886234
         135     10.0505     9.22028   0.0881833
         136     9.97409     9.22582   0.0877089
         137      10.144     9.23252   0.0873243
         138     10.4378     9.24126   0.0871272
         139     10.3248     9.24905   0.0868484
         140     10.9143     9.26095   0.0870389
         141     10.6296     9.27065   0.0869612
         142     10.4236     9.27877   0.0867269
         143     10.2427     9.28551    0.086382
         144     10.1783     9.29171   0.0860043
         145     10.0216     9.29675   0.0855584
         146     10.0362     9.30181   0.0851222
         147     10.0941      9.3072   0.0847135
         148     9.98879     9.31181   0.0842662
         149     9.97806     9.31628   0.0838193
         150     10.1753       9.322   0.0834558
         151     10.1469     9.32747   0.0830818
         152     10.4768     9.33503   0.0828786
         153     10.2367     9.34092   0.0825461
         154     9.97481     9.34504   0.0821127
         155     9.54408     9.34632    0.081593
         156     9.81366     9.34932   0.0811249
         157      9.7967     9.35217   0.0806582
         158     9.64587     9.35403   0.0801691
         159     9.79063     9.35677    0.079712
         160     9.72482     9.35907   0.0792469
         161     9.88934     9.36237   0.0788231
         162     9.46004     9.36297   0.0783389
         163     9.89249     9.36622   0.0779256
         164      9.9447     9.36974   0.0775302
         165     10.0308     9.37375   0.0771638
         166     9.68945     9.37565   0.0767224
         167     9.52786     9.37656   0.0762684
         168     9.66893      9.3783   0.0758343
         169     9.63102      9.3798   0.0754003
         170     10.0091      9.3835   0.0750476
         171      9.7047     9.38538   0.0746322
         172     9.63513     9.38683   0.0742124
         173     9.65846      9.3884      0.0738
         174      9.5643     9.38941   0.0733828
         175      9.5577     9.39037   0.0729698
         176      9.9648     9.39364   0.0726281
         177     10.3373     9.39897   0.0724132
         178     10.2729     9.40388   0.0721727
         179     10.5687     9.41039   0.0720622
         180     10.5077     9.41648   0.0719193
         181     9.97896     9.41959   0.0715891
         182     9.75692     9.42144   0.0712197
         183       9.823     9.42364   0.0708643
         184     9.37292     9.42336   0.0704797
         185     9.74674     9.42511   0.0701204
         186     9.75845      9.4269   0.0697663
         187     9.55727      9.4276   0.0693967
         188     9.85928      9.4299   0.0690656
         189     10.1751     9.43384   0.0688126
         190     10.3578      9.4387    0.068622
         191     9.86503     9.44093    0.068299
         192     9.88061     9.44322   0.0679817
         193     9.70904      9.4446   0.0676434
         194     9.20131     9.44335   0.0673064
         195     9.83478     9.44535   0.0669911
         196     9.84889     9.44741    0.066681
         197     9.49521     9.44766   0.0663429
         198     8.95146     9.44515   0.0660552
         199     9.62652     9.44606   0.0657295
         200      9.3379     9.44552   0.0654031
         201      8.9408     9.44301   0.0651259
         202     8.84217     9.44003   0.0648714
         203     9.12308     9.43847   0.0645706
         204      9.4191     9.43838   0.0642541
         205     9.36737     9.43803   0.0639416
         206     9.52265     9.43844   0.0636326
         207     9.33841     9.43796    0.063327
         208     9.46977     9.43811   0.0630227
         209     9.86695     9.44016   0.0627546
         210     9.78087     9.44179   0.0624767
         211     9.80592     9.44351   0.0622044
         212     9.79185     9.44516   0.0619327
         213     10.2689     9.44902   0.0617626
         214     10.0701     9.45193   0.0615421
         215     9.61034     9.45266   0.0612603
         216     9.85442     9.45452   0.0610049
         217     9.62826     9.45532   0.0607291
         218     9.62477      9.4561   0.0604555
         219      9.5491     9.45652   0.0601809
         220     9.67047      9.4575   0.0599152
         221     9.88205     9.45942   0.0596749
         222     9.44948     9.45937   0.0594061
         223     9.37485     9.45899   0.0591409
         224     9.69899     9.46007   0.0588866
         225     9.25445     9.45915    0.058632
         226     9.30145     9.45845   0.0583767
         227     9.17453      9.4572   0.0581329
         228     9.51329     9.45745   0.0578785
         229     9.29097     9.45672   0.0576303
         230     9.18207     9.45553   0.0573921
         231     9.40628     9.45532    0.057144
         232     9.05592     9.45359   0.0569236
         233     9.17672     9.45241   0.0566917
         234     8.94357     9.45023   0.0564912
         235     8.92399     9.44799   0.0562951
         236     8.81331      9.4453   0.0561208
         237     8.58262     9.44166   0.0560019
         238     8.83443     9.43911   0.0558247
         239     9.10049     9.43769   0.0556091
         240     9.27446     9.43701   0.0553816
         241     9.00633     9.43523   0.0551806
         242     9.29354     9.43464   0.0549557
         243     9.58235     9.43525   0.0547329
         244     9.68864     9.43629   0.0545184
         245     9.42087     9.43622   0.0542959
         246     8.92612     9.43415   0.0541148
         247     9.25291     9.43342   0.0539007
         248     9.10781      9.4321   0.0536993
         249     9.48479     9.43232   0.0534841
         250     9.38218     9.43212   0.0532705
         251     9.24329     9.43136   0.0530636
         252     9.09498     9.43003   0.0528698
         253     9.16239     9.42897   0.0526714
         254     9.50817     9.42928    0.052465
         255     9.53325     9.42969   0.0522608
         256     9.50887        9.43   0.0520576
         257     9.52626     9.43037   0.0518564
         258     9.77476     9.43171   0.0516726
         259     9.75699     9.43296   0.0514883
         260     9.64693     9.43379   0.0512969
         261     9.64055     9.43458   0.0511064
         262     9.72569     9.43569   0.0509235
         263     9.48894     9.43589   0.0507302
         264     10.0698     9.43829   0.0505949
         265     10.0693     9.44068   0.0504599
         266      10.226     9.44363   0.0503565
         267     10.2948     9.44682   0.0502687
         268     10.6888     9.45145   0.0502943
         269     10.2869     9.45456   0.0502032
         270     9.77767     9.45575   0.0500315
         271      9.8519     9.45721   0.0498682
         272     9.83825     9.45861   0.0497045
         273     9.62397     9.45922   0.0495262
         274     9.32994     9.45875   0.0493477
         275     9.22762     9.45791   0.0491754
         276     9.55112     9.45825   0.0489984
         277     9.51782     9.45846   0.0488219
         278     9.54877     9.45879   0.0486474
         279     8.99921     9.45714   0.0485009
         280     9.35486     9.45677   0.0483291
         281     9.29968     9.45621   0.0481603
         282     9.76235      9.4573   0.0480018
         283     9.80453     9.45853   0.0478478
         284     9.51194     9.45872   0.0476797
         285     9.48894     9.45882   0.0475125
         286     9.26869     9.45816   0.0473511
         287     9.65689     9.45885   0.0471911
         288     9.17277     9.45786   0.0470377
         289     9.90869     9.45942   0.0469008
         290     9.74818     9.46041   0.0467497
         291     9.85669     9.46177   0.0466089
         292     9.62585     9.46233   0.0464526
         293      9.4896     9.46243   0.0462942
         294     9.81094     9.46361   0.0461519
         295     9.86756     9.46498   0.0460158
         296     9.86633     9.46634   0.0458803
         297     9.71453     9.46717   0.0457334
         298     9.53396      9.4674   0.0455805
         299      9.3363     9.46696   0.0454301
         300      9.1489      9.4659   0.0452911
         301     9.33698     9.46547   0.0451426
         302     9.29237      9.4649   0.0449968
         303      8.7337     9.46248    0.044913
         304     8.61634      9.4597   0.0448514
         305     8.91067      9.4579   0.0447404
         306     8.95224     9.45625   0.0446247
         307     8.94049     9.45457    0.044511
         308     8.68216     9.45206   0.0444371
         309     9.17849     9.45118   0.0443021
         310     9.20438     9.45038   0.0441663
         311     9.11897     9.44931   0.0440372
         312     9.20208     9.44852   0.0439031
         313     9.30717     9.44807   0.0437652
         314     8.86868     9.44622   0.0436647
         315     8.49611     9.44321   0.0436301
         316     8.89169     9.44146    0.043527
         317     8.22256     9.43762   0.0435592
         318     8.39387     9.43434   0.0435457
         319     8.54325     9.43154   0.0434987
         320     8.91326     9.42992   0.0433929
         321     9.29148     9.42949   0.0432598
         322     9.29186     9.42906   0.0431276
         323      9.3894     9.42894   0.0429942
