#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.21467     1.21467           0
           2     1.22074      1.2177  0.00214588
           3     1.22548      1.2203  0.00255572
           4     1.21677     1.21941  0.00206319
           5     1.24067     1.22366  0.00414433
           6     1.24017     1.22642  0.00427051
           7     1.24011     1.22837  0.00408424
           8     1.24309     1.23021  0.00396668
           9     1.23679     1.23094  0.00359267
          10     1.22598     1.23045  0.00326756
          11     1.22704     1.23014  0.00298517
          12     1.23337     1.23041  0.00274855
          13     1.23189     1.23052  0.00253948
          14     1.23657     1.23095   0.0023945
          15     1.20789     1.22942  0.00268353
          16      1.2032     1.22778  0.00297417
          17     1.19657     1.22594  0.00331762
          18     1.20787     1.22494  0.00328164
          19     1.20336      1.2238   0.0032995
          20     1.20599     1.22291  0.00325249
          21     1.21343     1.22246  0.00312878
          22     1.20839     1.22182  0.00305126
          23     1.21202     1.22139  0.00294822
          24     1.19098     1.22013  0.00308575
          25     1.18889     1.21888  0.00320535
          26     1.18373     1.21753  0.00335511
          27     1.19751     1.21678  0.00331171
          28     1.20163     1.21624  0.00323733
          29     1.21455     1.21618  0.00312623
          30     1.19137     1.21536  0.00312955
          31     1.19393     1.21467  0.00310398
          32     1.19281     1.21398  0.00308121
          33     1.19295     1.21335  0.00305305
          34     1.19247     1.21273  0.00302436
          35      1.2109     1.21268  0.00293841
          36     1.22478     1.21302  0.00287594
          37     1.24019     1.21375  0.00289044
          38     1.23293     1.21425  0.00285811
          39     1.23173      1.2147  0.00281974
          40     1.23538     1.21522  0.00279625
          41     1.21001     1.21509  0.00273093
          42      1.2019     1.21478   0.0026839
          43     1.19991     1.21443  0.00264366
          44     1.20959     1.21432  0.00258587
          45     1.22296     1.21451  0.00253551
          46     1.23868     1.21504  0.00253421
          47     1.25164     1.21582   0.0025972
          48     1.25415     1.21662  0.00266302
          49     1.26853     1.21768  0.00281151
          50     1.27065     1.21874  0.00294816
          51     1.27365     1.21981  0.00308069
          52     1.25799     1.22055  0.00310771
          53     1.26029      1.2213  0.00313823
          54     1.23415     1.22153  0.00308913
          55     1.24439     1.22195  0.00306077
          56     1.24521     1.22237  0.00303416
          57     1.24674     1.22279   0.0030109
          58     1.26355      1.2235  0.00303987
          59     1.23556      1.2237  0.00299521
          60     1.22678     1.22375  0.00294573
          61     1.20152     1.22339  0.00291991
          62     1.20156     1.22304  0.00289395
          63     1.20719     1.22278  0.00285893
          64     1.22547     1.22283  0.00281457
          65     1.23357     1.22299  0.00277612
          66     1.23333     1.22315  0.00273847
          67     1.24511     1.22348  0.00271714
          68     1.24686     1.22382  0.00269885
          69       1.261     1.22436    0.002713
          70     1.26506     1.22494  0.00273586
          71      1.2857      1.2258  0.00282801
          72     1.26028     1.22627    0.002829
          73     1.26802     1.22685  0.00284747
          74     1.25966     1.22729   0.0028433
          75     1.25722     1.22769  0.00283327
          76     1.23644      1.2278  0.00279832
          77     1.24073     1.22797  0.00276702
          78     1.23609     1.22808   0.0027335
          79     1.23864     1.22821  0.00270216
          80     1.22237     1.22814  0.00266937
          81     1.24185     1.22831  0.00264178
          82     1.24562     1.22852  0.00261799
          83     1.25609     1.22885  0.00260743
          84     1.25961     1.22922  0.00260198
          85     1.27052      1.2297  0.00261636
          86     1.27612     1.23024  0.00264103
          87     1.27487     1.23075  0.00266002
          88       1.277     1.23128   0.0026812
          89     1.27055     1.23172  0.00268715
          90     1.24921     1.23192  0.00266431
          91     1.23593     1.23196   0.0026354
          92     1.23927     1.23204  0.00260795
          93     1.24836     1.23221   0.0025858
          94     1.26676     1.23258  0.00258428
          95     1.27242       1.233  0.00259087
          96     1.26425     1.23333  0.00258425
          97     1.27749     1.23378   0.0025974
          98     1.26575     1.23411   0.0025913
          99     1.25968     1.23437  0.00257797
         100     1.26054     1.23463  0.00256544
