#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      1.4638      1.4638           0
           2     1.46374     1.46377 1.89893e-05
           3      1.4638     1.46378 1.48968e-05
           4     1.46364     1.46375 3.29474e-05
           5     1.46397     1.46379 4.84669e-05
           6     1.46344     1.46373 6.68605e-05
           7     1.46363     1.46372 5.88783e-05
           8     1.46394     1.46375  5.7538e-05
           9     1.46362     1.46373 5.28005e-05
          10      1.4639     1.46375 5.01374e-05
          11     1.46359     1.46373 4.76311e-05
          12     1.46383     1.46374 4.43999e-05
          13     1.46367     1.46374 4.13001e-05
          14     1.46385     1.46374 3.91136e-05
          15      1.4638     1.46375 3.66852e-05
          16     1.46382     1.46375 3.46548e-05
          17     1.46369     1.46375 3.28159e-05
          18     1.46376     1.46375 3.10016e-05
          19     1.46381     1.46375 2.95487e-05
          20     1.46396     1.46376  2.9823e-05
          21     1.46362     1.46376   2.913e-05
          22     1.46392     1.46376 2.87301e-05
          23     1.46379     1.46377 2.75019e-05
          24     1.46394     1.46377 2.72946e-05
          25     1.46376     1.46377 2.62092e-05
          26     1.46382     1.46377 2.52541e-05
          27     1.46364     1.46377 2.47702e-05
          28     1.46364     1.46376 2.42826e-05
          29     1.46374     1.46376  2.3464e-05
          30     1.46365     1.46376 2.30025e-05
          31     1.46377     1.46376 2.22629e-05
          32     1.46371     1.46376 2.16316e-05
          33     1.46372     1.46376 2.10069e-05
          34     1.46358     1.46375 2.10523e-05
          35     1.46356     1.46375 2.11671e-05
          36     1.46349     1.46374 2.17477e-05
          37     1.46357     1.46373 2.16487e-05
          38     1.46352     1.46373 2.17893e-05
          39     1.46366     1.46373  2.1312e-05
          40     1.46386     1.46373 2.10269e-05
          41     1.46367     1.46373 2.05664e-05
          42     1.46375     1.46373 2.00822e-05
          43     1.46363     1.46373 1.97426e-05
          44     1.46369     1.46373 1.93148e-05
          45     1.46354     1.46372 1.93265e-05
          46     1.46355     1.46372 1.92529e-05
          47     1.46386     1.46372 1.90642e-05
          48     1.46361     1.46372 1.88099e-05
          49     1.46357     1.46372  1.8665e-05
          50     1.46364     1.46371 1.83542e-05
          51      1.4638     1.46372 1.80732e-05
          52     1.46382     1.46372 1.78398e-05
          53     1.46386     1.46372 1.76978e-05
          54     1.46393     1.46372 1.77697e-05
          55     1.46374     1.46372 1.74492e-05
          56     1.46372     1.46372 1.71376e-05
          57      1.4638     1.46373 1.68829e-05
          58     1.46407     1.46373 1.76174e-05
          59     1.46365     1.46373 1.73748e-05
          60       1.464     1.46374  1.7675e-05
          61     1.46384     1.46374 1.74745e-05
          62     1.46381     1.46374 1.72284e-05
          63      1.4638     1.46374 1.69793e-05
          64     1.46389     1.46374 1.68754e-05
          65     1.46384     1.46374 1.66872e-05
          66     1.46393     1.46375  1.6669e-05
          67     1.46375     1.46375 1.64202e-05
          68     1.46389     1.46375 1.63208e-05
          69     1.46373     1.46375 1.60856e-05
          70     1.46376     1.46375 1.58572e-05
          71      1.4638     1.46375 1.56535e-05
          72     1.46398     1.46375 1.57585e-05
          73     1.46379     1.46375 1.55504e-05
          74      1.4638     1.46375 1.53551e-05
          75     1.46391     1.46376  1.5294e-05
          76     1.46375     1.46376 1.50929e-05
          77     1.46386     1.46376 1.49533e-05
          78     1.46387     1.46376 1.48283e-05
          79     1.46377     1.46376 1.46421e-05
          80      1.4639     1.46376 1.45708e-05
          81      1.4639     1.46376 1.44862e-05
          82     1.46377     1.46376 1.43103e-05
          83     1.46381     1.46376 1.41474e-05
          84     1.46406     1.46377 1.44244e-05
          85     1.46383     1.46377 1.42753e-05
          86     1.46387     1.46377 1.41581e-05
          87     1.46396     1.46377 1.41605e-05
          88     1.46383     1.46377 1.40166e-05
          89     1.46383     1.46377  1.3877e-05
          90     1.46393     1.46377 1.38308e-05
          91     1.46385     1.46377 1.37052e-05
          92     1.46374     1.46377 1.35604e-05
          93     1.46384     1.46377 1.34314e-05
          94     1.46378     1.46377 1.32889e-05
          95     1.46381     1.46377 1.31531e-05
          96     1.46377     1.46377 1.30163e-05
          97      1.4638     1.46377 1.28852e-05
          98     1.46388     1.46378 1.27974e-05
          99     1.46374     1.46378 1.26726e-05
         100     1.46397     1.46378  1.2697e-05
